file,sentence,cited_keys,survey_arxiv_id,survey_title
3_causes.tex,"On the other hand, object co-occurrence refers to the phenomenon that the model will remember which two objects usually `go together'~\cite{chair}.",chair,2404.18930,Hallucination of Multimodal Large Language Models: A Survey
3_causes.tex,"On the other hand, Q-former-like~\cite{blip-2} architecture has diverse supervision on the extracted visual feature, aligning it to the language embedding space.",blip-2,2404.18930,Hallucination of Multimodal Large Language Models: A Survey
1_introduction.tex,"In contrast to pure LLMs, research efforts of hallucination in MLLMs mainly focus on the discrepancy between generated \textbf{text response} and provided \textbf{visual content}~\cite{pope,LURE_zhou2023analyzing,lvlm_survey}, \ie, cross-modal inconsistency.","pope,LURE_zhou2023analyzing,lvlm_survey",2404.18930,Hallucination of Multimodal Large Language Models: A Survey
Article_v2.tex,"In contrast to saving old training samples, OWM~\cite{zeng2019continual} and AOP~\cite{guo2022adaptive} modify parameter updates to the orthogonal direction of the previous input space.",zeng2019continual;guo2022adaptive,2302.00487,"A Comprehensive Survey of Continual Learning: Theory, Method and Application"
Article_v2.tex,"%balanced incorporation On the other hand, solution generalizability can be explicitly improved by converging to a flat loss landscape, where representative strategies include optimizing the flatness metric~\cite{shi2021overcoming,mehta2021empirical,mirzadeh2020understanding,deng2021flattening,mirzadeh2020linear}, constructing an ensemble model at either spatial scale~\cite{cha2020cpr,wang2022coscl,wang2023incorporating} or temporal scale~\cite{buzzega2020dark,boschini2022class}, and obtaining w","shi2021overcoming,mehta2021empirical,mirzadeh2020understanding,deng2021flattening,mirzadeh2020linear;cha2020cpr,wang2022coscl,wang2023incorporating;buzzega2020dark,boschini2022class;ramasesh2021effect,mehta2021empirical,hu2021well,pham2021dualnet,cha2021co2l,madaan2021representational",2302.00487,"A Comprehensive Survey of Continual Learning: Theory, Method and Application"
032_conversational_metrics.tex,"However, \cite{liu2016eval} showed that neither of the word-overlap based scores have any correlation to human judgments.\\ Based on the criticism of the word-overlap metrics, several new metrics have been proposed.",liu2016eval,1905.04071,Survey on Evaluation Methods for Dialogue Systems
050_discussion.tex,"On the other hand, BLEU becomes more competitive when applied on the corpus-level or system-level \citep{galley2015dbleu,Lowe2017AutoTuring}.","galley2015dbleu,Lowe2017AutoTuring",1905.04071,Survey on Evaluation Methods for Dialogue Systems
035_qa_dialogue.tex,"On the other hand, the simulation might only reward the generation of questions similar to a given template \citep{D16-1127}, which constrains the diversity of questions.",D16-1127,1905.04071,Survey on Evaluation Methods for Dialogue Systems
035_qa_dialogue.tex,"However, \cite{galley2015dbleu} included all the synthetic responses (no matter the rate given by crowd workers) and used the data for testing a new metric called Discriminative BLEU.",galley2015dbleu,1905.04071,Survey on Evaluation Methods for Dialogue Systems
review_preprint.tex,"Unsupervised lifelong learning, on the other hand, has been proposed mostly through the use of self-organizing neural networks (e.g., \cite{Parisi2018b, Parisi2017a, Richardson2008}).","Parisi2018b, Parisi2017a, Richardson2008",1802.07569,Continual Lifelong Learning with Neural Networks: A Review
review_preprint.tex,"On the other hand, other studies suggest that hippocampal neurogenesis sustains human-specific cognitive function throughout life~\citep{Boldrini2018}.",Boldrini2018,1802.07569,Continual Lifelong Learning with Neural Networks: A Review
review_preprint.tex,"In contrast to previously introduced approaches that do not consider multi-task scenarios, \cite{Xiao2014} proposed a training algorithm with a network that incrementally grows in capacity and also in hierarchical fashion.",Xiao2014,1802.07569,Continual Lifelong Learning with Neural Networks: A Review
MTL_Survey.tex,"Different from \cite{bh03,xlck07}, Jacob et al.","bh03,xlck07",1707.08114,A Survey on Multi-Task Learning
MTL_Survey.tex,"Different from \cite{bcw07,zy10a} which are Bayesian models, Zhang and Yeung \cite{zy10b,zy14} propose a regularized multi-task model called multi-task relationship learning (MTRL) by placing a matrix-variate normal prior on $\mathbf{W}$ as {\small \begin{equation} \mathbf{W}\sim\mathcal{MN}(\cdot|\mathbf{0},\mathbf{I},\bm{\Omega}),\label{equ_MTRL_prior} \end{equation} }\noindent where $\mathcal{MN}(\cdot|\mathbf{M},\mathbf{A},\mathbf{B})$ denotes a matrix-variate normal distribution with $\math","bcw07,zy10a;zy10b,zy14",1707.08114,A Survey on Multi-Task Learning
MTL_Survey.tex,"Different from \cite{hl11,zh12} which study the multi-task multi-view classification problem, in \cite{zzl15b,zzll16}, two multi-task multi-view clustering methods are proposed and both methods consider three factors: within-view-task clustering which conducts clustering on each view in a task, view relation learning which minimizes the disagreement among views in a task, and low-rank structure learning which aims to learn a shared subspace for different tasks under a common view.","hl11,zh12;zzl15b,zzll16",1707.08114,A Survey on Multi-Task Learning
main.tex,"\citet{di2022goal} draw attention to the fundamental disparity between capability generalization and goal generalization, emphasizing how the inductive biases inherent in the model and its training algorithm may inadvertently prime the model to learn a proxy objective that diverges from the intended initial objective when faced with the testing distribution.",di2022goal,2310.19852,AI Alignment: A Comprehensive Survey
main.tex,"\item\textbf{{Learning under Distribution Shift} {\normalfont(\S\ref{sec:distribution})}} In contrast to learning from feedback, which holds input fixed, this pillar focuses specifically on the cases where the distribution of input changes, \textit{i.e.}, where distribution shift occurs \citep{krueger2020hidden,thulasidasan2021effective,hendrycks2021many}.","krueger2020hidden,thulasidasan2021effective,hendrycks2021many",2310.19852,AI Alignment: A Comprehensive Survey
main.tex,"When an AI system begins to pursue goals that contradict its human designers, it can manifest capabilities that pose significant risks, including deception, manipulation, and power-seeking behaviors \citep{shevlane2023model, arcevalscollab}.","shevlane2023model, arcevalscollab",2310.19852,AI Alignment: A Comprehensive Survey
main.tex,"\textit{Machine Ethics}: In contrast to much of alignment research which aligns AI systems with human preferences in general (encompassing both value-laden ones and value-neutral ones), \emph{machine ethics} have specifically focused on instilling appropriate moral values into AI systems \citep{yu2018building, winfield2019machine, tolmeijer2020implementations}.","yu2018building, winfield2019machine, tolmeijer2020implementations",2310.19852,AI Alignment: A Comprehensive Survey
main.tex,"On the other hand, ordinal preferences entail a graded assessment of a fixed set of items as either preferred, less preferred, or intermediary, \textit{etc.}, enabling the depiction of user preferences without including specific numerical measurements \citep{cheng2010graded}.",cheng2010graded,2310.19852,AI Alignment: A Comprehensive Survey
main.tex,"A general example of PbRL is the \textit{weighted pairwise disagreement loss} \citep{duchi2010consistency} balancing multiple potentially conflicting preferences to identify a singular optimal policy: \begin{align*} \mathcal{L}(\pi,\zeta) = \sum_{i=1}^N\alpha_iL(\pi,\zeta_i), \end{align*} where $\mathcal{L}(\pi,\zeta)$ is the aggregated loss for policy $\pi$ over all preferences $\zeta$, $\alpha_i$ is the weight of the $i$th preference, and $L(\pi,\zeta_i)$ is the loss associated with the policy",duchi2010consistency,2310.19852,AI Alignment: A Comprehensive Survey
main.tex,"Conversely, \citet{findeis2024inverse} explored the inverse problem of CAI: \textit{given a dataset of feedback, how can one extract a constitution that best enables a LLM to reconstruct the original annotations?} This problem not only converts AI feedback from preferences into a corresponding constitution but also offers a method for synthesizing new preference data for AI feedback.",findeis2024inverse,2310.19852,AI Alignment: A Comprehensive Survey
main.tex,"However, \citet{krueger2020hidden} posited that, in reality, agents could influence the environment during the decision-making and execution process, thus altering the distribution of the data generated by the environment.",krueger2020hidden,2310.19852,AI Alignment: A Comprehensive Survey
main.tex,"Three research agendas have gained traction in the AI safety and alignment community \citep{alignment_course}: \textbf{Mechanistic Interpretability}, which, taking a bottom-up approach, aims to gain an understanding of low-level mechanics for algorithms implemented by neural networks \citep{olah2020zoom}, \textbf{Representation Engineering}, which, in contrast, taking a top-down approach, monitors (and manipulates) high-level cognitive phenomenon in neural networks \citep{zou2023representation},","alignment_course;olah2020zoom;zou2023representation;meng2022locating, meng2022mass",2310.19852,AI Alignment: A Comprehensive Survey
main.tex,"Interpretability benchmarks and metrics were made to evaluate interpretability tools (by evaluating their effectiveness in detecting trojans) \citep{casper2023red}, circuits (by testing whether specific subgraphs are counted as circuits) \citep{lawrencec_causal} and explanations (by examining the faithfulness, comprehensiveness, and sufficiency of an explanation) \citep{lage2019evaluation, deyoung2020eraser, krishna2022disagreement}.","casper2023red;lawrencec_causal;lage2019evaluation, deyoung2020eraser, krishna2022disagreement",2310.19852,AI Alignment: A Comprehensive Survey
main.tex,"However, as the inner logic of a certain AI system is unknown before the interpretability tools are applied \citep{samek2019explainable} and different explanations may even contradict each other \citep{neely2021order, krishna2022disagreement}, building a reliable evaluation benchmark or metric is rather difficult \citep{krishna2022disagreement}.","samek2019explainable;neely2021order, krishna2022disagreement;krishna2022disagreement",2310.19852,AI Alignment: A Comprehensive Survey
main.tex,"Conversely, in other works \citep{berreby2017declarative,murtarelli2021conversation}, the segregation of ethical decision-making from the reward function is pursued.","berreby2017declarative,murtarelli2021conversation",2310.19852,AI Alignment: A Comprehensive Survey
main.tex,"Current research rigorously affirms that AI systems, contradictory to their initial design intent for mitigating toxicities in chemistry or biology, now hold the potential to manufacture new chemical toxins \citep{urbina2022dual} and biological weaponry \citep{sandbrink2023artificial}.",urbina2022dual;sandbrink2023artificial,2310.19852,AI Alignment: A Comprehensive Survey
main.tex,"On the other hand, there is a limited understanding of how jailbreaking functions and the susceptibility of language models to poisoning and backdoors \citep{anwar2024foundational}.",anwar2024foundational,2310.19852,AI Alignment: A Comprehensive Survey
main.tex,"However, this assumption is unrealistic due to widespread disagreements on contentious issues globally, which frequently result in conflicting judgments about AI system outputs \citep{santurkar2023whose}.",santurkar2023whose,2310.19852,AI Alignment: A Comprehensive Survey
intro.tex,"When an AI system begins to pursue goals that contradict its human designers, it can manifest capabilities that pose significant risks, including deception, manipulation, and power-seeking behaviors \citep{shevlane2023model, arcevalscollab}.","shevlane2023model, arcevalscollab",2310.19852,AI Alignment: A Comprehensive Survey
intro.tex,"\citet{di2022goal} draw attention to the fundamental disparity between capability generalization and goal generalization, emphasizing how the inductive biases inherent in the model and its training algorithm may inadvertently prime the model to learn a proxy objective that diverges from the intended initial objective when faced with the testing distribution.",di2022goal,2310.19852,AI Alignment: A Comprehensive Survey
intro.tex,"\item\textbf{{Learning under Distribution Shift} {\normalfont(\S\ref{sec:distribution})}} In contrast to learning from feedback, which holds input fixed, this pillar focuses specifically on the cases where the distribution of input changes, \textit{i.e.}, where distribution shift occurs \citep{krueger2020hidden,thulasidasan2021effective,hendrycks2021many}.","krueger2020hidden,thulasidasan2021effective,hendrycks2021many",2310.19852,AI Alignment: A Comprehensive Survey
intro.tex,"In contrast to much of alignment research which aligns AI systems with human preferences in general (encompassing both value-laden ones and value-neutral ones), \emph{machine ethics} have specifically focused on instilling appropriate moral values into AI systems \citep{yu2018building, winfield2019machine, tolmeijer2020implementations}.","yu2018building, winfield2019machine, tolmeijer2020implementations",2310.19852,AI Alignment: A Comprehensive Survey
