pair_id,label_A,rationale_A,label_B,rationale_B
p016,not_contradiction,Different architectures for different info-extraction sub-problems,not_contradiction,Noisy-supervision boost to an existing parser vs label-free end-to-end IE architecture; complementary goals.
p017,not_contradiction,Different specific tasks: SDoH extraction vs medical error detection/correction,not_contradiction,Social-determinants-of-health extraction pipeline vs medical error detection benchmark; unrelated clinical NLP tasks.
p018,not_contradiction,Different specific tasks: multilingual LM benchmark vs cross-lingual reranking evaluation,not_contradiction,Massively multilingual African LM pretraining vs cross-lingual reranking evaluation; different specific tasks.
p019,not_contradiction,Different specific contributions: general multimodal pretraining vs dialogue dataset+model,not_contradiction,Unified-modal contrastive pretraining architecture vs visual dialogue dataset release; different contributions.
p020,not_contradiction,"Both propose new LLM-eval paradigms but via different, non-conflicting mechanisms",not_contradiction,Batch-wise general text evaluation paradigm vs math meta-reasoning benchmark; different evaluation domains.
p021,type4_apparent,"A critiques standard accuracy/F1 leaderboard evaluation as potentially misleading; B relies on exactly such a leaderboard claim -- methodological tension, not a direct same-claim conflict -- borderline, low confidence",not_contradiction,Text-only functional test suite for hate speech vs multimodal meme classifier; different modality/task.
p022,not_contradiction,"B is a tutorial describing known difficulties in the space A operates in, not a conflicting empirical claim",not_contradiction,New piecewise latent-variable distribution proposal vs general tutorial on the field; not conflicting.
p023,not_contradiction,"Different modalities/tasks (text timeline summarisation vs audio hallucination), share only 'temporal reasoning' vocabulary",not_contradiction,Shared 'temporal reasoning' vocabulary but different domains: text timeline summarization vs audio hallucination.
p024,not_contradiction,Different tasks: NMT attention span vs handwritten text recognition attention,not_contradiction,Attention-span reduction for NMT efficiency vs attention-function comparison for handwriting recognition; unrelated.
p025,not_contradiction,"Both are 'new jailbreak method beats baseline' papers on different benchmarks, not a head-to-head comparable claim",not_contradiction,"Two different jailbreak-attack methods (evolutionary search vs GCG breadth search); complementary, not incompatible."
p026,not_contradiction,Different aspect-based-sentiment sub-tasks (category detection vs term-level with missing aspect terms),not_contradiction,Unsupervised aspect category detection vs aspect-term discovery via capsule network; different ABSA subtasks.
p027,not_contradiction,Different specific problems: joint ASR-ST training vs re-translation speed for simultaneous translation,not_contradiction,Joint interactive ASR-ST decoding vs non-autoregressive re-translation model; different systems and specific claims.
p028,not_contradiction,Different methods/base models for KV-cache compression; compression numbers not directly comparable (different setups),not_contradiction,Two different KV-cache-reduction techniques (GQA conversion vs new MFA architecture); not mutually incompatible.
p029,not_contradiction,Different specific prediction tasks on clinical notes (discharge diagnosis vs ventilation duration),not_contradiction,CNN admission-note diagnosis classification vs XLNet ventilation-duration prediction; different clinical tasks/metrics.
p030,not_contradiction,Different reasoning-enhancement mechanisms (visual construction vs knowledge subgraphs) for different task types,not_contradiction,Visual-code-construction reasoning framework vs subgraph-based reasoning framework; complementary LLM reasoning enhancements.
p031,not_contradiction,Both 'variational attention' but different specific mechanisms/tasks (Seq2Seq diversity vs stance-detection robustness); related but not conflicting,not_contradiction,"Variational treatment of encoder-decoder cross-attention vs of self-attention; different components/tasks, not conflicting."
p032,not_contradiction,"Different architectures/objectives (generative vs discriminative) for Arabic, different tasks/metrics",not_contradiction,"AraGPT2 (text generation) vs AraELECTRA (discriminative understanding); complementary objectives, not incompatible."
p033,not_contradiction,"Different aspects (security/attack vs architecture/theory) of diffusion LLMs, not comparable claims",not_contradiction,Exploratory adversarial-attack study vs analysis of diffusion-LM design tradeoffs; different specific claims.
p034,not_contradiction,Different specific resources for different languages/domains,not_contradiction,English reading-comprehension evaluation server vs Chinese judicial reading dataset; different contributions and languages.
p035,not_contradiction,Both data-selection-for-tuning papers but different modalities (text vs vision-language) and methods,not_contradiction,"Text instruction-tuning data selection vs vision-language data selection; different modalities, not conflicting."
p036,not_contradiction,"B is an engineering/toolkit paper, not a comparable empirical claim to A",not_contradiction,Pretrained cross-lingual encoder initialization for MT vs open-source NMT toolkit; different contribution types.
p037,not_contradiction,Different specific methods/domains (general entity-synonym discovery vs domain-specific ontology construction),not_contradiction,General entity synonym discovery framework vs anti-infective drug ontology construction; different domains/tasks.
p038,not_contradiction,Different specific contributions (pretrained LM architecture vs data augmentation technique),not_contradiction,AraELECTRA pretraining objective vs AraGPT2-based data augmentation for classification; different specific tasks.
p039,not_contradiction,Completely different tasks (question similarity vs ICD-10 coding),not_contradiction,Arabic question-similarity shared-task system vs clinical ICD coding neural network; unrelated domains.
p040,not_contradiction,Both query-expansion-via-embeddings but different mechanisms/query types; complementary not conflicting,not_contradiction,"Sequence-to-sequence query expansion vs event-driven query expansion; different methods, no directly conflicting claim."
p041,type4_apparent,"Surface tension: A finds LLMs need context/domain knowledge for numerical causal discovery; B's fine-tuned LLM succeeds by providing exactly that scaffolding -- resolves once methodology is considered, textbook Type 4 candidate -- borderline, moderate confidence",not_contradiction,Causal-attribution interpretability fine-tuning vs LLM4Causal task-execution fine-tuning; complementary causal-LLM research directions.
