sentence_id,status,skip_reason,topic,hypothesis_a,source_a,hypothesis_b,source_b,reject_reason
s0432,skipped,"not_genuine_contrast: LaihoSparse2015 and FradySDR2020 are co-cited jointly as the proposers of Sparse Block Codes, contrasted with SBDR, which is not among the cited_refs",,,,,,skipped_by_annotator
s0433,skipped,"not_genuine_contrast: RecchiaSemantic2010 and ImaniDNA2018 are co-cited together as sharing the same superimposition (non-multiplicative binding) approach, contrasted with unspecified 'approaches above' not in this record",,,,,,skipped_by_annotator
s0436,skipped,"not_genuine_contrast: hu2017learning and johnson2017inferring are cited as joint VQA inspirations for liu2018temporal's own method, not as an opposing hypothesis; the actual comparator (MCN) has no corresponding cited_ref here",,,,,,skipped_by_annotator
s0440,skipped,"not_genuine_contrast: describes a proposed future combination of the two works' techniques, not a contradiction between them",,,,,,skipped_by_annotator
s0445,skipped,"not_genuine_contrast: the two works target different, complementary testing goals (discriminatory-input fairness testing vs. cross-variant disagreement/differential testing), not opposing claims",,,,,,skipped_by_annotator
s0455,skipped,"not_genuine_contrast: chen2020uniter and li2020unicoder are grouped together as joint counter-evidence against VL-BERT's claim; VL-BERT itself is not among the cited_refs, and the two given refs are not contrasted with each other",,,,,,skipped_by_annotator
s0456,skipped,"not_genuine_contrast: four refs are co-cited as parallel examples of independent-encoder/decoder BERT-inspired VLP models, contrasted with the survey's own uncited subject",,,,,,skipped_by_annotator
s0459,skipped,"not_genuine_contrast: describes a new dataset's viewpoint/collection characteristics relative to prior datasets, not a competing scientific hypothesis or claim",,,,,,skipped_by_annotator
s0461,skipped,"not_genuine_contrast: four refs are co-cited jointly as examples of 'direct methods,' contrasted with 'feature-based methods,' which has no corresponding cited_ref in this record",,,,,,skipped_by_annotator
s0470,skipped,"not_genuine_contrast: descriptive statement of a method combination (batch acquisition plus BALD), not a contrast between competing claims",,,,,,skipped_by_annotator
s0471,skipped,"not_genuine_contrast: descriptive enumeration of components combined into BGADL, not a contrast between competing claims",,,,,,skipped_by_annotator
s0477,skipped,"not_genuine_contrast: describes two separate, non-comparable evaluation-methodology limitations of two different papers, not a contradiction between their hypotheses",,,,,,skipped_by_annotator
s0480,skipped,"not_genuine_contrast: jain-wallace-2019-attention and serrano-smith-2019-attention are co-cited together, jointly challenging the use of attention weights as explanations; the contrast is with an unnamed prior consensus not among the cited_refs",,,,,,skipped_by_annotator
,,,channel pruning redundancy scope,"Prunable channels in a convolutional network can be identified by measuring channel redundancy within each layer independently (e.g., via filter-magnitude/geometric-median criteria), without accounting for redundancy relationships across different layers.",li2016pruning,"Channel redundancy for pruning should instead be measured jointly across multiple different layers rather than within a single layer alone, which better minimizes the resulting accuracy loss.",wang2019cop,off_domain_not_nlp
,,,channel pruning regularization strategy,"Prunable channels in a convolutional network can be identified by applying an L1-norm sparsity-inducing penalty to batch-normalization scaling factors during training, shrinking unimportant channels' factors toward zero.",liu2017learning,"Prunable channels are better identified using a polarization regularizer on the scaling factors instead of a plain L1-norm penalty, since polarization explicitly pushes each factor toward either zero or a large nonzero value, creating a clear margin between pruned and kept channels rather than uniform shrinkage.",zhuang2020neuron,off_domain_not_nlp
,,,privileged vs standard distillation,"A student neural network can acquire a teacher network's knowledge through the standard knowledge distillation paradigm, in which the student learns only from the teacher's outputs and information otherwise available to the student itself.",hinton2015distilling,"Beyond standard teacher-student distillation, model accuracy can be further improved by having the student also learn from privileged information: additional information available only during training (not to the deployed/student model), used for similarity control and knowledge transfer.",vapnik2015learning,off_domain_not_nlp
,,,backdoor attack target in diffusion models,"Backdoors can be injected into text-to-image diffusion models by poisoning the text prompt data used to fine-tune the model's text encoder, so that a trigger phrase causes the encoder to produce an attacker-chosen embedding.",struppek2023rickrolling,"Text-to-image diffusion models can instead be backdoored through multimodal (image-text) data poisoning that fine-tunes the UNet denoising component, rather than the text encoder, to embed the backdoor trigger behavior.",zhai2023text,off_domain_not_nlp
,,,Multi-task learning low-rank regularization,Chen et al. (2011) propose a multi-task learning method that jointly and explicitly optimizes both a low-rank structure component and a group-sparse structure component within the objective function to achieve robust multi-task learning.,chen2011integrating,"Chen et al. (2012) instead learn incoherent sparse and low-rank patterns across multiple tasks by imposing a constraint on the trace norm, which implicitly encourages a low-rank structure rather than optimizing for it directly in the objective.",chen2012learning,off_domain_not_nlp
,,,Local feature matching paradigm,"S-TREK (Santellani et al., 2023) follows a detect-then-describe strategy for local feature matching, using a translation- and rotation-equivariant keypoint detector paired with a lightweight descriptor extractor.",santellani2023s,"SE2-LoFTR (Bökman & Kahl, 2022) instead adopts a detector-free paradigm, directly extracting pixel-level correspondences between image pairs without any preliminary keypoint detection step.",bokman2022case,off_domain_not_nlp
,,,Speech waveform generation pipeline design,"WaveGrad (Chen et al., 2020) generates audio by converting a Mel-spectrogram into a waveform, functioning as a vocoder stage in a cascaded text-to-speech pipeline.",chen2020wavegrad,"WaveGrad 2 (Chen et al., 2021) instead adopts an end-to-end approach that takes a phoneme sequence as direct input and generates the audio waveform through an iterative refinement process, without an intermediate Mel-spectrogram step.",chen2021wavegrad,off_domain_not_nlp
,,,Offline RLHF benchmark construction methodology,Shin et al. (2023) construct offline preference-based reward learning benchmarks and algorithms leveraging synthetic rewards rather than real human preference data.,shin2023benchmarks,"Yuan et al. (2024, Uni-RLHF) instead propose a dataset and benchmark suite for offline RLHF that includes diverse, real human preference data rather than relying on synthetic rewards.",yuan2024unirlhf,off_domain_not_nlp
,,,Specialized vs. generalist models for medical image segmentation,"nnU-Net (Isensee et al., 2021) is a self-configuring, task-specialized deep learning pipeline designed to achieve state-of-the-art performance in biomedical image segmentation across diverse target classes.",isensee2021nnu,"MedSAM (Ma & Wang, 2023), an adaptation of the generalist Segment Anything Model to medical images, achieves remarkable performance across 14 unseen datasets, 50 target classes, and seven imaging modalities, even surpassing specialized nnU-Net models on each target class.",ma2023segment,off_domain_not_nlp
,,,Differentiable neural network pruning mechanism,"DSA (Ning et al., 2020) achieves differentiable budgeted pruning via differentiable sparsity allocation, a mechanism that (unlike PDP) relies on extra trainable parameters.",ning2020dsa,"PDP (Cho et al., 2023) shows that soft pruning masks for weights can be generated in a parameter-free manner, without extra trainable parameters, to accomplish differentiable pruning for both CNNs and Transformers.",cho2023pdp,off_domain_not_nlp
,,,Search space design for hyperparameter transfer learning,"Effective search spaces for hyperparameter optimization can be learned across related datasets using restricted geometrical shapes, offering another view of hyperparameter transfer learning.",perrone2019learning,Search space design for hyperparameter tuning should instead leverage information about similarities between different datasets to construct an uncertain (non-fixed-shape) search space for the target problem.,li2022transfer,off_domain_not_nlp
,,,Independence assumption in disentangled representations,"A disentangled representation is defined by isolating unique, semantic factors of variation in the data (implicitly treating these factors as independent).",Locatello2019ChallengingCA,"Contrary to that assumption, the underlying generative factors can be causally interdependent rather than independent (e.g., a light source's position causally affects a shadow's characteristics), so disentangled representation learning should model these causal relationships via structural causal models.",Yang2021CausalVAEDR,off_domain_not_nlp
,,,Perceived fairness as a desired outcome of explanations,"When evaluating model fairness, an explanation-driven increase in users' perceived fairness of the model should be regarded as a positive outcome.",harrison2020empirical,"Contrary to that, a decrease in users' perceived fairness following an explanation should instead be regarded as the positive outcome.",dodge2019explaining,off_domain_not_nlp
,,,Number of views in graph contrastive learning,Using three views (the original graph plus PPR-diffusion and heat-kernel-diffusion graphs) in graph contrastive representation learning does not outperform using only two views (the original graph plus one diffusion graph); increasing the number of views does not improve performance.,hassani2020contrastive,"Contrary to that conclusion, a multi-view contrastive framework using three views (the original graph, a diffusion graph, and an additional feature-based view), as in MV-CGC, can improve performance over using fewer views.",yuan2021semi,off_domain_not_nlp
,,,Number of views in graph contrastive learning,Using three views (the original graph plus PPR-diffusion and heat-kernel-diffusion graphs) in graph contrastive representation learning does not outperform using only two views (the original graph plus one diffusion graph); increasing the number of views does not improve performance.,hassani2020contrastive,"Contrary to that conclusion, a multi-view contrastive framework using three views (the original graph, a diffusion graph, and an additional feature-based view), as in MV-CGC, can improve performance over using fewer views.",yuan2021semi,off_domain_not_nlp
,,,Model construction strategy in explainable RL,"An explanatory/interpretable model of an agent's policy should be learned entirely separately from the agent itself (e.g., a policy-explanation model trained outside the controller).",hayes2017improving,"Instead, the explanatory model should be built internally, integrated within the agent itself, rather than learned as a separate external model.",cruz2019XRL,off_domain_not_nlp
,,,Saliency criterion for neural network pruning,"The importance (saliency) of a network weight/connection for pruning should be determined using second-order derivative information about the loss, as in Optimal Brain Damage.",Lecun1990,"Instead, pruning saliency can be determined via a simpler magnitude-based criterion, removing connections with small weight magnitudes, without requiring second-order derivative computation.",Han2015a,off_domain_not_nlp
,,,Training synchronization in GAN-based steganography,"In GAN-based image steganography, the message extractor should be trained separately, outside of (in a different step from) the generator/adversarial training process.",hu2018novel,"Instead, training of the message extractor and the generator should be synchronized within the same adversarial training process, leading to superior performance and training efficiency.",wang2018sstegan,off_domain_not_nlp
,,,Computational efficiency of global self-attention,Long-range contextual dependencies in an image can be captured by applying a non-local-means-inspired self-attention layer to the whole feature map without restricting its computational scope.,hu2019local,"Instead, the computational complexity of such whole-feature-map non-local attention can be reduced by using sparse, criss-cross attention maps rather than a full dense attention map.",huang2019ccnet,off_domain_not_nlp
,,,Complementary learning systems in hippocampus and cortex,"Hippocampal learning is instance-based, rapidly encoding specific individual memory traces.",marr1991simple,"In contrast, the cortical system learns generalized statistical summaries of the input distribution rather than storing instance-specific traces, which is why complementary learning systems exist in the hippocampus and neocortex.",mcclelland1995there,off_domain_not_nlp
