pair_id,topic,hypothesis_a,source_a,hypothesis_b,source_b
r9_010,NMT vs human robustness to noise,"Neural machine translation systems are heavily degraded by synthetic and natural noise such as misspellings, in contrast to more traditional translation approaches.",belinkovB18,"Human readers incur a measurable processing cost when reading words with jumbled or scrambled letters, showing that human word recognition is also disrupted by misspelled input, though evidently less catastrophically than neural MT systems.",jumbledwords
r9_011,code-switching label granularity,"Code-switching/word-borrowing detection can be handled by tagging an entire word with a single coarse-grained 'mixed' label, without further internal distinction.",SBM+14,"The 'mixed' code-switching label should be expanded to identify the specific languages present at the morpheme level within a single word (intra-word code-switching), rather than a single whole-word tag.",sabty2021
r9_012,reaching diverse users for data,"Larger and more diverse study populations can be reached through volunteer-based, uncompensated online experimentation platforms such as LabintheWild, which recruit individual participants directly for behavioral studies.",reinecke2015labinthewild,"Wikibench offers a community-driven alternative to individual-based data curation for AI evaluation, capturing community consensus rather than aggregating individual volunteer responses.",kuo2024wikibench
r9_013,zero-shot chain-of-thought effects,"EchoPrompt improves LLM performance by prompting the model to first rephrase the query before answering it, yielding substantial gains across zero-shot and few-shot prompting, including chain-of-thought settings.",mekala-etal-2024-echoprompt,"Zero-shot chain-of-thought prompting significantly increases the likelihood of harmful and biased outputs when applied to harmful-question and stereotype benchmarks, revealing a safety cost of CoT not captured by accuracy-focused evaluation.",shaikh-etal-2023-second
r9_014,LLM self-correction capability,Large language models cannot self-correct their own reasoning through intrinsic self-reflection alone; genuine improvement requires external feedback.,huang2024large,"LLMs' self-estimated confidence can be leveraged to improve intrinsic self-correction/self-refinement capability, complicating the claim that self-correction is not achievable without external feedback.",li2024confidence
r9_015,transformer adapter module architecture,"The Houlsby adapter architecture inserts an adapter module both after the multi-headed attention sublayer and after the feed-forward sublayer in each transformer layer, i.e. two adapters per layer.",houlsbyadapter,"The Bapna and Firat adapter simplifies this design by introducing only one adapter module per transformer layer, keeping only the 'top' adapter after multi-headed attention and dropping the 'bottom' adapter after the feed-forward sublayer.",bapnafiratadapter
r9_016,adapter layer normalization strategy,The Houlsby adapter approach re-trains the transformer's existing layer normalization parameters separately for every new domain.,houlsbyadapter,"The Bapna and Firat adapter instead leaves the original layer normalization parameters frozen and introduces new, separate layer normalization parameters for every task, mimicking the structure of the transformer's feed-forward layer.",bapnafiratadapter
r9_017,definition of misinformation,"Misinformation should be defined narrowly, as demonstrably false and inflammatory content.",budak2024misunderstanding,"Misinformation should be defined more expansively to also include true information that is misleading and causes harm, a category sometimes termed 'malinformation,' rather than only outright false content.",ecker2024misinformation
r9_018,multilingual text-to-image evaluation scope,"Multilingual conceptual coverage in text-to-image generation can be evaluated by generating simple, single concepts translated across languages.",saxon2023multilingual,"Evaluating text-to-image generative bias across Indic languages requires prompts describing multiple elements/objects within a single generated image, going beyond single simple-concept generation.",mittal2024navigating
r9_019,Semi-supervised singing transcription methods,"For note-level singing transcription from polyphonic music, unlabelled singing data can be effectively leveraged via a self-training / teacher-student pseudo-labeling framework (a noisy-student-style approach) that transfers pseudo-labels from frame-level to note-level predictions.",DBLP:conf/icassp/KumLKKN22,"For note-level singing transcription from polyphonic music (the VOCANO system), unlabelled singing data should instead be leveraged via virtual adversarial training, a regularization method that enforces prediction consistency under small input perturbations, rather than via self-training pseudo-labeling.",DBLP:conf/ismir/Hsu021
r9_020,Retrieval-augmented generation architectures,"Retrieval-augmented generation (RAG) should rely on a separate retriever component that fetches relevant passages or knowledge from an external corpus, which are then supplied to the language model to produce a knowledge-grounded answer.",lewis2020retrieval,"In 'Implicit RAG', no separate retriever component is needed: the LLM itself should be prompted to identify and extract the important chunks or sections directly from the given context before answering the query.",vatsal2024can
r9_021,Vocabulary alignment methods for LLM ensembling,"Vocabulary projection between different LLMs for ensembling should be achieved by directly learning explicit projection matrices between the different vocabularies, using shared anchor tokens as bridges.",xu2024bridging,"Vocabulary projection between different (heterogeneous) LLMs for ensembling should instead be achieved indirectly, by computing relative representations of tokens with respect to anchor points in each vocabulary space, rather than by learning explicit cross-vocabulary projection matrices.",huang2024enabling
r9_022,computational politeness labeling tool,A computational model of politeness strategies can be built to link linguistic markers of politeness to social factors (such as power and social relations) in text.,danescu2013computational,"Directly applying an existing computational politeness-labeling approach to broader, more general social computing data reveals notable challenges, though the tool can be revalidated as usable for labeling politeness more broadly once these are addressed.",hoffman2017evaluating
r9_023,MoE routing for multilingual MT,"Multilingual neural machine translation can be effectively scaled to many language pairs (including low-resource ones) using trainable/learned gating within a mixture-of-experts architecture, achieving better translation quality than approaches based on explicit language-specific expert selection.",costa2022no,"Multilingual neural machine translation can be scaled beyond English-centric pairs using an architecture with explicit, language-specific expert/module selection rather than a learned gating mechanism.",fan2021beyond
r9_024,methodology for studying ChatGPT's impact,"Understanding of ChatGPT's use, benefits, and challenges in domains like education, healthcare, and research is best obtained through an exploratory survey that collects direct feedback from practitioners.",hosseini2023exploratory,"A comprehensive review that aggregates findings from existing studies can characterize ChatGPT's background, applications, key challenges, bias, ethics, and limitations, offering a generalized perspective without collecting new primary data.",ray2023chatgpt
r9_025,effect of output format constraints on LLM performance,"Imposing rigid output format restrictions on large language models (e.g., forcing structured formats) reduces their task performance compared to allowing free-form generation.",tam2024letspeakfreelystudy,"Structuring large language model outputs does not necessarily harm, and can actually improve, task performance; claims that format restrictions hurt performance rest on flawed evaluation.",kurt2024saywhatyoumean
r9_026,code generation vs. tool orchestration for visual reasoning,"Complex visual reasoning tasks can be solved by having a system generate an explicit program (executable code) that composes vision and language modules, without additional training.",gupta2023visual,"Visual reasoning and image editing/generation tasks can be accomplished by having a language model orchestrate external visual foundation models directly, without the system itself generating code.",wu2023visual
r9_027,evaluation paradigms for continual learning in LMs,Continual learning ability of language models should be evaluated primarily by domain-specific adaptability and incremental-learning performance across a sequence of new training domains.,ke2022continualb,"Continual learning ability of language models should instead be evaluated with a dedicated benchmark that measures whether a model retains time-invariant knowledge, updates outdated information, and acquires new knowledge over time.",jang2021towards
r9_028,role of LLMs in skill-extraction pipelines,Skill extraction and standardization from job-posting text can be delivered as a live API service that queries a large language model at inference/request time.,li2023skillgpt,"For skill extraction, a large language model is better used only during the training stage (to produce training signal for a smaller extraction model), keeping the LLM out of the inference path to reduce latency and improve reproducibility.",decorte2023extreme
r9_029,scale vs. quality of instruction-tuning data,"Instruction-following large language models can be effectively built by fine-tuning on a large, automatically constructed instruction dataset.",alpaca,"Strong instruction-following and alignment can be achieved with only a small number of carefully selected, high-quality examples rather than large-scale automatically constructed data -- 'less is more' for alignment.",zhou2023lima
