pair_id,label_A_5way,label_A_3way,label_B_5way,label_B_3way
r9_023,type4_apparent_contextual,Apparent,not_contradiction,NotContradiction
r9_024,not_contradiction,NotContradiction,not_contradiction,NotContradiction
r9_025,type3_causal_conflict,Contradiction,type1_direct_negation,Contradiction
r9_026,type1_direct_negation,Contradiction,not_contradiction,NotContradiction
r9_027,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r9_028,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r9_029,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r10_000,not_contradiction,NotContradiction,not_contradiction,NotContradiction
r10_001,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r10_002,type4_apparent_contextual,Apparent,type4_apparent_contextual,Apparent
r10_003,not_contradiction,NotContradiction,not_contradiction,NotContradiction
r10_004,not_contradiction,NotContradiction,not_contradiction,NotContradiction
r10_005,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r10_006,not_contradiction,NotContradiction,not_contradiction,NotContradiction
r10_007,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r10_008,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r10_009,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r10_010,type4_apparent_contextual,Apparent,not_contradiction,NotContradiction
r10_011,type4_apparent_contextual,Apparent,not_contradiction,NotContradiction
r10_013,type4_apparent_contextual,Apparent,not_contradiction,NotContradiction
r10_014,type4_apparent_contextual,Apparent,not_contradiction,NotContradiction
r10_015,not_contradiction,NotContradiction,not_contradiction,NotContradiction
r10_016,type2_quantitative_conflict,Contradiction,type1_direct_negation,Contradiction
r10_017,not_contradiction,NotContradiction,not_contradiction,NotContradiction
r11_000,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r11_003,not_contradiction,NotContradiction,not_contradiction,NotContradiction
r11_004,type4_apparent_contextual,Apparent,type4_apparent_contextual,Apparent
r11_005,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r11_006,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r11_007,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r11_008,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r11_009,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r11_011,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r11_012,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r11_013,type4_apparent_contextual,Apparent,not_contradiction,NotContradiction
r11_014,type4_apparent_contextual,Apparent,not_contradiction,NotContradiction
r11_015,type1_direct_negation,Contradiction,not_contradiction,NotContradiction
r11_016,type4_apparent_contextual,Apparent,not_contradiction,NotContradiction
r12_009,type1_direct_negation,Contradiction,not_contradiction,NotContradiction
r12_016,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r12_021,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r13_001,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r14_000,type3_causal_conflict,Contradiction,type4_apparent_contextual,Apparent
r16_000,not_contradiction,NotContradiction,not_contradiction,NotContradiction
r16_001,not_contradiction,NotContradiction,not_contradiction,NotContradiction
r16_002,type3_causal_conflict,Contradiction,not_contradiction,NotContradiction
r16_003,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r16_004,type4_apparent_contextual,Apparent,type4_apparent_contextual,Apparent
r16_005,type4_apparent_contextual,Apparent,not_contradiction,NotContradiction
r16_006,type4_apparent_contextual,Apparent,not_contradiction,NotContradiction
r16_007,type4_apparent_contextual,Apparent,not_contradiction,NotContradiction
r16_008,type3_causal_conflict,Contradiction,type1_direct_negation,Contradiction
r16_009,not_contradiction,NotContradiction,not_contradiction,NotContradiction
r16_010,type1_direct_negation,Contradiction,type1_direct_negation,Contradiction
r17_000,not_contradiction,NotContradiction,not_contradiction,NotContradiction
r17_001,not_contradiction,NotContradiction,not_contradiction,NotContradiction
r17_002,type4_apparent_contextual,Apparent,not_contradiction,NotContradiction
