round,method,pair_id,label_A,label_B,both_flag_contradiction,labels_agree
1,loose_tfidf_clustering,p034,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p035,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p036,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p037,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p038,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p039,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p040,not_contradiction,not_contradiction,False,True
1,loose_tfidf_clustering,p041,type4_apparent_contextual,not_contradiction,False,False
2,strict_task_phrase_clustering,r2_000,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_001,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_002,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_003,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_004,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_005,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_006,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_007,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_008,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_009,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_010,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_011,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_012,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_013,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_014,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_015,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_016,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_017,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_018,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_019,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_020,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_021,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_022,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_023,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_024,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_025,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_026,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_027,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_028,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_029,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_030,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_031,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_032,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_033,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_034,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_035,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_036,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_037,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_038,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_039,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_040,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_041,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_042,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_043,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_044,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_045,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_046,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_047,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_048,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_049,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_050,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_051,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_052,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_053,not_contradiction,not_contradiction,False,True
2,strict_task_phrase_clustering,r2_054,not_contradiction,not_contradiction,False,True
3,survey_mining_hand_picked,r3_000,type3_causal_conflict,type4_apparent_contextual,True,False
3,survey_mining_hand_picked,r3_001,type4_apparent_contextual,type1_direct_negation,True,False
3,survey_mining_hand_picked,r3_002,type3_causal_conflict,type3_causal_conflict,True,True
3,survey_mining_hand_picked,r3_003,type1_direct_negation,type1_direct_negation,True,True
3,survey_mining_hand_picked,r3_004,type4_apparent_contextual,type4_apparent_contextual,True,True
3,survey_mining_hand_picked,r3_005,not_contradiction,type4_apparent_contextual,False,False
3,survey_mining_hand_picked,r3_006,type4_apparent_contextual,type4_apparent_contextual,True,True
3,survey_mining_hand_picked,r3_007,not_contradiction,type4_apparent_contextual,False,False
3,survey_mining_hand_picked,r3_008,type4_apparent_contextual,type4_apparent_contextual,True,True
4,survey_mining_keyword_search,r4_000,type1_direct_negation,type1_direct_negation,True,True
4,survey_mining_keyword_search,r4_001,type4_apparent_contextual,type4_apparent_contextual,True,True
4,survey_mining_keyword_search,r4_002,type4_apparent_contextual,type4_apparent_contextual,True,True
5,survey_mining_narrowed_regex,r5_000,type4_apparent_contextual,type4_apparent_contextual,True,True
5,survey_mining_narrowed_regex,r5_001,type4_apparent_contextual,type4_apparent_contextual,True,True
6,survey_mining_semantic_proxy,r6_000,type3_causal_conflict,type3_causal_conflict,True,True
6,survey_mining_semantic_proxy,r6_001,type3_causal_conflict,type3_causal_conflict,True,True
6,survey_mining_semantic_proxy,r6_002,type1_direct_negation,type1_direct_negation,True,True
7,survey_mining_dual_llm_pipeline,r7_000,type4_apparent_contextual,type4_apparent_contextual,True,True
7,survey_mining_dual_llm_pipeline,r7_003,type4_apparent_contextual,type4_apparent_contextual,True,True
7,survey_mining_dual_llm_pipeline,r7_004,type1_direct_negation,type1_direct_negation,True,True
7,survey_mining_dual_llm_pipeline,r7_005,type3_causal_conflict,type1_direct_negation,True,False
8,survey_mining_dual_llm_pipeline,r8_000,type4_apparent_contextual,type4_apparent_contextual,True,True
9,survey_mining_dual_llm_pipeline,r9_000,type1_direct_negation,type1_direct_negation,True,True
9,survey_mining_dual_llm_pipeline,r9_001,type1_direct_negation,type1_direct_negation,True,True
9,survey_mining_dual_llm_pipeline,r9_002,type1_direct_negation,type1_direct_negation,True,True
9,survey_mining_dual_llm_pipeline,r9_003,type4_apparent_contextual,not_contradiction,False,False
9,survey_mining_dual_llm_pipeline,r9_004,not_contradiction,not_contradiction,False,True
9,survey_mining_dual_llm_pipeline,r9_005,type1_direct_negation,type1_direct_negation,True,True
9,survey_mining_dual_llm_pipeline,r9_006,type1_direct_negation,not_contradiction,False,False
9,survey_mining_dual_llm_pipeline,r9_007,type1_direct_negation,type1_direct_negation,True,True
9,survey_mining_dual_llm_pipeline,r9_008,type4_apparent_contextual,type4_apparent_contextual,True,True
9,survey_mining_dual_llm_pipeline,r9_009,type4_apparent_contextual,type4_apparent_contextual,True,True
9,survey_mining_dual_llm_pipeline,r9_010,not_contradiction,not_contradiction,False,True
9,survey_mining_dual_llm_pipeline,r9_011,type1_direct_negation,type1_direct_negation,True,True
9,survey_mining_dual_llm_pipeline,r9_012,not_contradiction,not_contradiction,False,True
9,survey_mining_dual_llm_pipeline,r9_013,type4_apparent_contextual,not_contradiction,False,False
9,survey_mining_dual_llm_pipeline,r9_014,type1_direct_negation,type1_direct_negation,True,True
9,survey_mining_dual_llm_pipeline,r9_015,not_contradiction,not_contradiction,False,True
9,survey_mining_dual_llm_pipeline,r9_016,type4_apparent_contextual,not_contradiction,False,False
9,survey_mining_dual_llm_pipeline,r9_017,type1_direct_negation,type1_direct_negation,True,True
9,survey_mining_dual_llm_pipeline,r9_018,type4_apparent_contextual,not_contradiction,False,False
9,survey_mining_dual_llm_pipeline,r9_019,type1_direct_negation,type1_direct_negation,True,True
9,survey_mining_dual_llm_pipeline,r9_020,type4_apparent_contextual,type4_apparent_contextual,True,True
9,survey_mining_dual_llm_pipeline,r9_021,type1_direct_negation,type1_direct_negation,True,True
9,survey_mining_dual_llm_pipeline,r9_022,not_contradiction,not_contradiction,False,True
9,survey_mining_dual_llm_pipeline,r9_023,type4_apparent_contextual,not_contradiction,False,False
9,survey_mining_dual_llm_pipeline,r9_024,not_contradiction,not_contradiction,False,True
9,survey_mining_dual_llm_pipeline,r9_025,type3_causal_conflict,type1_direct_negation,True,False
9,survey_mining_dual_llm_pipeline,r9_026,type1_direct_negation,not_contradiction,False,False
9,survey_mining_dual_llm_pipeline,r9_027,type1_direct_negation,type1_direct_negation,True,True
9,survey_mining_dual_llm_pipeline,r9_028,type1_direct_negation,type1_direct_negation,True,True
9,survey_mining_dual_llm_pipeline,r9_029,type1_direct_negation,type1_direct_negation,True,True
10,survey_mining_dual_llm_pipeline,r10_000,not_contradiction,not_contradiction,False,True
10,survey_mining_dual_llm_pipeline,r10_001,type1_direct_negation,type1_direct_negation,True,True
10,survey_mining_dual_llm_pipeline,r10_002,type4_apparent_contextual,type4_apparent_contextual,True,True
10,survey_mining_dual_llm_pipeline,r10_003,not_contradiction,not_contradiction,False,True
10,survey_mining_dual_llm_pipeline,r10_004,not_contradiction,not_contradiction,False,True
10,survey_mining_dual_llm_pipeline,r10_005,type1_direct_negation,type1_direct_negation,True,True
10,survey_mining_dual_llm_pipeline,r10_006,not_contradiction,not_contradiction,False,True
10,survey_mining_dual_llm_pipeline,r10_007,type1_direct_negation,type1_direct_negation,True,True
10,survey_mining_dual_llm_pipeline,r10_008,type1_direct_negation,type1_direct_negation,True,True
10,survey_mining_dual_llm_pipeline,r10_009,type1_direct_negation,type1_direct_negation,True,True
10,survey_mining_dual_llm_pipeline,r10_010,type4_apparent_contextual,not_contradiction,False,False
10,survey_mining_dual_llm_pipeline,r10_011,type4_apparent_contextual,not_contradiction,False,False
10,survey_mining_dual_llm_pipeline,r10_013,type4_apparent_contextual,not_contradiction,False,False
10,survey_mining_dual_llm_pipeline,r10_014,type4_apparent_contextual,not_contradiction,False,False
10,survey_mining_dual_llm_pipeline,r10_015,not_contradiction,not_contradiction,False,True
10,survey_mining_dual_llm_pipeline,r10_016,type2_quantitative_conflict,type1_direct_negation,True,False
10,survey_mining_dual_llm_pipeline,r10_017,not_contradiction,not_contradiction,False,True
11,survey_mining_dual_llm_pipeline,r11_000,type1_direct_negation,type1_direct_negation,True,True
11,survey_mining_dual_llm_pipeline,r11_001,type1_direct_negation,PARSE_ERROR,True,False
11,survey_mining_dual_llm_pipeline,r11_003,not_contradiction,not_contradiction,False,True
11,survey_mining_dual_llm_pipeline,r11_004,type4_apparent_contextual,type4_apparent_contextual,True,True
11,survey_mining_dual_llm_pipeline,r11_005,type1_direct_negation,type1_direct_negation,True,True
11,survey_mining_dual_llm_pipeline,r11_006,type1_direct_negation,type1_direct_negation,True,True
11,survey_mining_dual_llm_pipeline,r11_007,type1_direct_negation,type1_direct_negation,True,True
11,survey_mining_dual_llm_pipeline,r11_008,type1_direct_negation,type1_direct_negation,True,True
11,survey_mining_dual_llm_pipeline,r11_009,type1_direct_negation,type1_direct_negation,True,True
11,survey_mining_dual_llm_pipeline,r11_011,type1_direct_negation,type1_direct_negation,True,True
11,survey_mining_dual_llm_pipeline,r11_012,type1_direct_negation,type1_direct_negation,True,True
11,survey_mining_dual_llm_pipeline,r11_013,type4_apparent_contextual,not_contradiction,False,False
11,survey_mining_dual_llm_pipeline,r11_014,type4_apparent_contextual,not_contradiction,False,False
11,survey_mining_dual_llm_pipeline,r11_015,type1_direct_negation,not_contradiction,False,False
11,survey_mining_dual_llm_pipeline,r11_016,type4_apparent_contextual,not_contradiction,False,False
12,survey_mining_dual_llm_pipeline,r12_009,type1_direct_negation,not_contradiction,False,False
12,survey_mining_dual_llm_pipeline,r12_016,type1_direct_negation,type1_direct_negation,True,True
12,survey_mining_dual_llm_pipeline,r12_021,type1_direct_negation,type1_direct_negation,True,True
13,survey_mining_dual_llm_pipeline,r13_001,type1_direct_negation,type1_direct_negation,True,True
14,survey_mining_dual_llm_pipeline,r14_000,type3_causal_conflict,type4_apparent_contextual,True,False
16,survey_mining_dual_llm_pipeline,r16_000,not_contradiction,not_contradiction,False,True
16,survey_mining_dual_llm_pipeline,r16_001,not_contradiction,not_contradiction,False,True
16,survey_mining_dual_llm_pipeline,r16_002,type3_causal_conflict,not_contradiction,False,False
16,survey_mining_dual_llm_pipeline,r16_003,type1_direct_negation,type1_direct_negation,True,True
16,survey_mining_dual_llm_pipeline,r16_004,type4_apparent_contextual,type4_apparent_contextual,True,True
16,survey_mining_dual_llm_pipeline,r16_005,type4_apparent_contextual,not_contradiction,False,False
16,survey_mining_dual_llm_pipeline,r16_006,type4_apparent_contextual,not_contradiction,False,False
16,survey_mining_dual_llm_pipeline,r16_007,type4_apparent_contextual,not_contradiction,False,False
16,survey_mining_dual_llm_pipeline,r16_008,type3_causal_conflict,type1_direct_negation,True,False
16,survey_mining_dual_llm_pipeline,r16_009,not_contradiction,not_contradiction,False,True
16,survey_mining_dual_llm_pipeline,r16_010,type1_direct_negation,type1_direct_negation,True,True
17,survey_mining_dual_llm_pipeline,r17_000,not_contradiction,not_contradiction,False,True
17,survey_mining_dual_llm_pipeline,r17_001,not_contradiction,not_contradiction,False,True
17,survey_mining_dual_llm_pipeline,r17_002,type4_apparent_contextual,not_contradiction,False,False
