file,sentence,cited_keys,survey_arxiv_id,survey_title
main_arxiv.tex,"% \paragraph{LLM as memory defender.} % The clearest existing example is % A-MemGuard~\citep{wei2025amemguard} (Section~\ref{ssec:def-retrieve}), % which uses LLM reasoning to generate independent paths from related % memories and flags inter-path disagreement as an anomaly.",wei2025amemguard,2604.16548,"A Survey on Long-Term Memory Security in LLM Agents: Attacks, Defenses, and Governance Across the Memory Lifecycle"
5-defense.tex,"TrustRAG~\citep{zhou2025trustrag} and SeCon-RAG~\citep{si2025seconrag} use clustering, trust scoring, semantic similarity, and contradiction-aware filtering to distinguish benign from malicious retrieved content.",zhou2025trustrag;si2025seconrag,2604.16548,"A Survey on Long-Term Memory Security in LLM Agents: Attacks, Defenses, and Governance Across the Memory Lifecycle"
5-defense.tex,"A-MemGuard~\citep{wei2025amemguard} is more memory-native: it retrieves semantically related memories, compares independent reasoning paths, treats disagreement as an anomaly signal, and distills detected attacks into lesson memories for future hardening.",wei2025amemguard,2604.16548,"A Survey on Long-Term Memory Security in LLM Agents: Attacks, Defenses, and Governance Across the Memory Lifecycle"
main-v2-compressed-arxiv.tex,"& \cite{wang2021} (emotion), \cite{guelorget2021} (slant, annotation effort), \cite{jarquin2023} (annotation, imbalance), \cite{kozienkop2023} (subjectivity, disagreement), \cite{rasheeda2023} (ambiguous designs), \cite{paraskevopoulos2022} (subjectivity) \\ \addlinespace Model interpretability \& explainability & The development of models whose decision-making processes are transparent and understandable.",wang2021;guelorget2021;jarquin2023;kozienkop2023;rasheeda2023;paraskevopoulos2022,2605.23910,Document Classification Pattern Recognition via Information Fusion: A Systematic Review of Multimodal and Multiview Representation Approaches
main.tex,"AVSD~\citep{2605.20643} takes a modest step by treating multiple training-time views of the same input as parallel PI sources, decomposing the per-token signal into a consensus component shared across views and a view-specific residual so that the student does not collapse onto a single teacher view when views disagree.",2605.20643,2604.00626,A Survey of On-Policy Distillation for Large Language Models
Q4_3.tex,"For example, \emph{Army of Thieves}~\citep{jindal2024army} employs ensemble-based consensus entropy and label disagreement to guide query selection.",jindal2024army,2603.24857,AI Security in the Foundation Model Era: A Comprehensive Survey from a Unified Perspective
Q4_3.tex,"Then, the generation strategies accelerated progress: \emph{MAZE}~\citep{kariyappa2021maze} guides a generator toward regions of maximal model disagreement via zeroth-order gradient estimation; and \emph{DFMS-HL}~\citep{sanyal2022towards} adapts to hard-label constraints with class-diversity regularization and adversarial alignment terms.",kariyappa2021maze;sanyal2022towards,2603.24857,AI Security in the Foundation Model Era: A Comprehensive Survey from a Unified Perspective
Q4_3.tex,"Because DFME is highly budget-sensitive, several methods emphasize query efficiency: \emph{IDEAL}~\citep{zhang2022ideal} decouples generation from distillation, requiring only one query per synthetic sample, whereas \emph{E$^3$}~\citep{zhu2025efficient} improves efficiency via language-guided sample selection, multi-resolution training, and temperature tuning, achieving comparable fidelity with merely about $0.5\%$ of the queries needed by conventional GAN-based methods; and \emph{DualCOS}~\cite",zhang2022ideal;zhu2025efficient;yang2024dualcos,2603.24857,AI Security in the Foundation Model Era: A Comprehensive Survey from a Unified Perspective
main.tex,"MetaGen~\citep{wangMetaGenSelfEvolvingRoles2026} initializes a task-adaptive graph and then revises both roles and edges based on lightweight feedback such as contradictions, failures, and cost signals.",wangMetaGenSelfEvolvingRoles2026,2603.22386,From Static Templates to Dynamic Runtime Graphs: A Survey of Workflow Optimization for LLM Agents
main.tex,MetaGen~\citep{wangMetaGenSelfEvolvingRoles2026} updates role descriptions and graph edits using contradiction- and failure-oriented feedback from logs.,wangMetaGenSelfEvolvingRoles2026,2603.22386,From Static Templates to Dynamic Runtime Graphs: A Survey of Workflow Optimization for LLM Agents
main_v1.tex,"\citet{sahoo2024indicconan} propose a taxonomy for Hindi and Indian English, encompassing consequences, denouncing, facts, contradiction, counter-questions, and positive responses, tailored to the Indian context.",sahoo2024indicconan,2603.19279,Multilingual Hate Speech Detection and Counterspeech Generation: A Comprehensive Survey and Practical Guide
main_v1.tex,"\citet{yadav2023lahm} employ F1-score and accuracy for six languages, while \citet{rottger2022multilingual} and \citet{das2022hatecheckhin} use accuracy on diagnostic test cases to reveal weaknesses in 10 languages and Hinglish, respectively.",yadav2023lahm;rottger2022multilingual;das2022hatecheckhin,2603.19279,Multilingual Hate Speech Detection and Counterspeech Generation: A Comprehensive Survey and Practical Guide
main_v1.tex,"By contrast, \textit{Multi3Hate} \citep{bui2024multi3hate} reveal how cultural disagreement itself complicates evaluation, as annotators from the USA and India agreed on only 67\% of cases.",bui2024multi3hate,2603.19279,Multilingual Hate Speech Detection and Counterspeech Generation: A Comprehensive Survey and Practical Guide
main_v1.tex,"\citet{muhammad2025afrihate} report cultural disagreements in African datasets, while \citet{bui2024multi3hate} identify multimodal annotation biases with low inter-annotator agreement (e.g., 67\% between annotators in the USA and India).",muhammad2025afrihate;bui2024multi3hate,2603.19279,Multilingual Hate Speech Detection and Counterspeech Generation: A Comprehensive Survey and Practical Guide
main_v1.tex,"\citet{huang2020multilingual} propose including demographic attributes to improve fairness assessment, while \citet{chung2019conan} advocate expanding counterspeech datasets to cover varied hate targets such as migrants and LGBT+ groups \citep{sahoo2024indicconan, das2024low}.","huang2020multilingual;chung2019conan;sahoo2024indicconan, das2024low",2603.19279,Multilingual Hate Speech Detection and Counterspeech Generation: A Comprehensive Survey and Practical Guide
main.tex,"Unlike hallucinations in general NLP, which stem from training data bias, chart hallucinations often arise from ungrounded generation: the model constructs a plausible narrative based on the chart's title or topic while ignoring contradictory visual evidence \cite{islam2024large, hou2024vision}.","islam2024large, hou2024vision",2602.10138,"Multimodal Information Fusion for Chart Understanding: A Survey of MLLMs -- Evolution, Limitations, and Cognitive Enhancement"
main.tex,"By augmenting training data with ""hard negative"" captions, descriptions that are semantically plausible but factually contradictory (e.g., describing a monotonic increase as a plateau), models are forced to learn discriminative features rather than relying on superficial correlations \cite{yuksekgonul2023visionlanguagemodelsbehavelike}.",yuksekgonul2023visionlanguagemodelsbehavelike,2602.10138,"Multimodal Information Fusion for Chart Understanding: A Survey of MLLMs -- Evolution, Limitations, and Cognitive Enhancement"
explainability.tex,"Besides, while \citet{pytorchcaptum2022} define concepts manually, \citet{mu_compositional_2021} propose to learn the abstractions by analyzing the neurons, where they find that neurons learn shallow lexical heuristics from dataset biases.",pytorchcaptum2022;mu_compositional_2021,2602.08145,Reliable and Responsible Foundation Models: A Comprehensive Survey
uncertainty.tex,\citet{malinin2021uncertainty} take an ensemble approach and characterizes epistemic or ``knowledge'' uncertainty using mutual information and the level of disagreement between models in the ensemble.,malinin2021uncertainty,2602.08145,Reliable and Responsible Foundation Models: A Comprehensive Survey
uncertainty.tex,"\citet{zhao2021calibrate, zhou2024batch} offer methods to debias answers for a prompt so that confidence scores are calibrated based on the actual input instance under consideration, while \citet{detommaso2024multicalibration} introduce the notion of multi-calibration \citep{hébertjohnson2018calibration} into the LLM setting by grouping examples based on binary attribute labels produced by the model itself.","zhao2021calibrate, zhou2024batch;detommaso2024multicalibration;hébertjohnson2018calibration",2602.08145,Reliable and Responsible Foundation Models: A Comprehensive Survey
bias.tex,"However, \citet{webster2020measuring} normalize a token's predicted probability (based on the template prompt ``[MASK] is an [ITEM FROM GROUP i]'') with the model's prior probability (based on the template ``[MASK] is a [MASK]'').",webster2020measuring,2602.08145,Reliable and Responsible Foundation Models: A Comprehensive Survey
sn-article-david.tex,"While our survey hopes to specifically connect theories to methods, we here point to existing surveys for readers with diverse intentions: for generation methods, \cite{alhussain2021automatic} and \cite{fang2023systematic} make the distinction between planning-based (which are more representative of symbolic methods) and statistical machine learning models in story generation, \bluetext{while \citet{teleki-etal-2025-survey} and \citet{ma-etal-2026-text}'s LLM-focused surveys categorise methods b",alhussain2021automatic;fang2023systematic;teleki-etal-2025-survey;ma-etal-2026-text;santana2023survey;zhu-etal-2023-nlp,2602.15851,Narrative Theory-Driven LLM Methods for Automatic Story Generation and Understanding: A Survey
sn-article-david.tex,"While \citet{wilmot2021memory} applies the theory with LLMs to label the per-sentence salience of novel/play summaries, \citet{huang-usbeck-2024-narration} applies the same theory to extract event causal relations from non-fictional news stories.",wilmot2021memory;huang-usbeck-2024-narration,2602.15851,Narrative Theory-Driven LLM Methods for Automatic Story Generation and Understanding: A Survey
sn-article-david.tex,"In these cases, narrative is studied as an interactional and psychological practice rather than only as a textual structure.} \cite{sun-etal-2024-event} reference psychological theories of narrative as a sense-making cognitive faculty for causality\footnote{The claim of narrative as a cognitive system of causality is contradicted by \cite{bruner1991narrative}, whose psychological narrative theory distinguishes between the Paradigmatic or Logico-Scientific Mode of causal explanations and the narr",sun-etal-2024-event;bruner1991narrative,2602.15851,Narrative Theory-Driven LLM Methods for Automatic Story Generation and Understanding: A Survey
sn-article-david.tex,"We emphasise that the landscape of narrative studies is full of contradictions and lacks unified consensus.} \citep{trabasso1985causal,keefe1993time,graesser2003does}.","trabasso1985causal,keefe1993time,graesser2003does",2602.15851,Narrative Theory-Driven LLM Methods for Automatic Story Generation and Understanding: A Survey
sn-article-david.tex,"\citet{wang2025generating}'s DOME, Dynamic hierarchical Outlining with Memory-Enhancement, combines a dynamic hierarchical outline with a temporal knowledge graph memory module: the outline supports macro-level plot planning for long-form story generation, while the temporal knowledge graph stores and retrieves generated content to reduce contextual contradictions, incorporating Campbell-inspired staged progression into the rough-outline generation process.",wang2025generating,2602.15851,Narrative Theory-Driven LLM Methods for Automatic Story Generation and Understanding: A Survey
sn-article-david.tex,"When tested as TTCW evaluators, however, \citet{chakrabarty2024art} find that none of the LLMs they test positively correlate with expert human assessments on creativity dimensions (what are creativity dimensions and what are not creativity dimensions?) [can we find other positive examples to show that llms are reliable?].",chakrabarty2024art,2602.15851,Narrative Theory-Driven LLM Methods for Automatic Story Generation and Understanding: A Survey
sn-article-david.tex,"\citet{das-etal-2024-media} extract event-centric narrative graphs from news media to identify high-level narrative frames, while \citet{heddaya-etal-2024-causal} construct causal micro-narrative graphs from contemporary and historical news corpora, also draws on \citet{todorov19712}'s theory of narrative equilibrium to define the relational structure between events.",das-etal-2024-media;heddaya-etal-2024-causal;todorov19712,2602.15851,Narrative Theory-Driven LLM Methods for Automatic Story Generation and Understanding: A Survey
sn-article-david.tex,"% We demonstrate the subtle but non-trivial differences between similar narrative theories in this example: while \cite{todorov19712} and \cite{trabasso1985causal} both link the form of narrative to causality, the former's object of study is the narrative text itself, while the latter's is the cognitive process of the narrative.",todorov19712;trabasso1985causal,2602.15851,Narrative Theory-Driven LLM Methods for Automatic Story Generation and Understanding: A Survey
5_data_discovery.tex,"Similarly, EAGLE~\cite{EAGLE} employs task-specific prompts to selectively label critical or uncertain samples (identified via prediction disagreement), combining zero-shot \llm annotation with active learning to enhance generalization in low-data settings.",EAGLE,2601.17058,Can LLMs Clean Up Your Mess? A Survey of Application-Ready Data Preparation with LLMs
5_data_discovery.tex,"For example, EAGLE~\cite{EAGLE} combines zero-shot \llm annotation with conventional ML training by selecting samples based on prediction disagreement between a base model and its fine-tuned variant, and labeling them via task-specific prompts.",EAGLE,2601.17058,Can LLMs Clean Up Your Mess? A Survey of Application-Ready Data Preparation with LLMs
main.tex,"\citet{he2025saif} leveraged SAE-derived directions to steer instruction adherence, while \citet{stolfo2025improving}, \citet{jiang2024refine}, and \citet{li2025training} demonstrated that instruction-following behavior could be improved through \textit{Vector Arithmetic} steering without full retraining.",he2025saif;stolfo2025improving;jiang2024refine;li2025training,2601.14004,"Locate, Steer, and Improve: A Practical Survey of Actionable Mechanistic Interpretability in Large Language Models"
Sec3-1_Memory_Format.tex,"In contrast to reconstruction, other work caches a compact subset of hidden-state vectors or memory tokens across segments, thereby extending the effective context length beyond a fixed window while reducing memory and computation costs \citep{dai2019transformer}.",dai2019transformer,2602.06052,A Survey of Agent Memory in the Second Half: Towards Self-Evolving and Long-Horizon Agents
Sec3-2_Cognitive_System.tex,"In contrast to memory systems that encode stable knowledge, sensory memory functions as a transient interface between perception and cognition, operating over very short timescales and across multiple sensory modalities~\citep{atkinson1968human}.",atkinson1968human,2602.06052,A Survey of Agent Memory in the Second Half: Towards Self-Evolving and Long-Horizon Agents
Sec7-2_benchmark.tex,"We define ten user-centric memory abilities to characterize what an agent must remember and use over long-horizon interactions \citep{wulongmemeval, pakhomov2025convomem}: Fact Extraction (FE) is the ability to identify and store reusable facts from dialogue (e.g., user attributes, constraints, key events) so they can be recalled later; Multi-Session Reasoning (MR) requires integrating evidence that is distributed across multiple sessions and turns rather than contained in a single session; Temp","wulongmemeval, pakhomov2025convomem",2602.06052,A Survey of Agent Memory in the Second Half: Towards Self-Evolving and Long-Horizon Agents
main.tex,"However, \citet{lireasoning} indicates that RL often increases hallucinations, even with prior SFT.",lireasoning,2601.19928,"Towards a Mechanistic Understanding of Large Reasoning Models: A Survey of Training, Inference, and Failures"
main.tex,"Behaviorally, models exhibit \emph{flaw repetition} (trapped in incorrect reasoning loops), \emph{think–answer mismatch} (final output contradicting the reasoning chain)~\citep{are_reasoning_models-zijun}, and \emph{meta-cognitive failures} (overconfident claims from uninternalized knowledge)~\citep{lu2025auditing}.",are_reasoning_models-zijun;lu2025auditing,2601.19928,"Towards a Mechanistic Understanding of Large Reasoning Models: A Survey of Training, Inference, and Failures"
main.tex,"Hallucinations are characterized by specific failure modes: \emph{flaw repetition} (incorrect reasoning loops), \emph{think–answer mismatch} (output contradicting reasoning), and \emph{meta-cognitive failures} (overconfidence from uninternalized knowledge)~\citep{are_reasoning_models-zijun, lu2025auditing}.","are_reasoning_models-zijun, lu2025auditing",2601.19928,"Towards a Mechanistic Understanding of Large Reasoning Models: A Survey of Training, Inference, and Failures"
main.tex,"Concurrently, models exhibit \emph{implicit post-hoc rationalization}, producing logically contradictory responses with coherent but unfaithful justifications \citep{cot_in_the_wild_not_faithful}.",cot_in_the_wild_not_faithful,2601.19928,"Towards a Mechanistic Understanding of Large Reasoning Models: A Survey of Training, Inference, and Failures"
long_version_unintended_behaviors.tex,"However, \citep{lireasoning} indicates that reasoning-focused RL fine-tuning often increases the prevalence of hallucinations, even when SFT is included.",lireasoning,2601.19928,"Towards a Mechanistic Understanding of Large Reasoning Models: A Survey of Training, Inference, and Failures"
long_version_unintended_behaviors.tex,"For example, \citet{are_reasoning_models-zijun} identifies a phenomenon called \textit{Think-Answer Mismatch}, where the model's final answer contradicts its preceding CoT.",are_reasoning_models-zijun,2601.19928,"Towards a Mechanistic Understanding of Large Reasoning Models: A Survey of Training, Inference, and Failures"
long_version_unintended_behaviors.tex,"% \textcolor{blue}{[3]}: \citet{cot_in_the_wild_not_faithful} studies another specific form of unfaithfulness, called \textit{``Implicit Post-Hoc Rationalization''} where models, due to their own implicit biases, generate logically contradictory ``Yes'' or ``No'' answers to opposite questions.",cot_in_the_wild_not_faithful,2601.19928,"Towards a Mechanistic Understanding of Large Reasoning Models: A Survey of Training, Inference, and Failures"
long_version_unintended_behaviors.tex,"% \textcolor{blue}{[5]}: Additionally, \citet{wang2025thinking} shows that reasoning models can be induced to perform strategic deception---engaging in goal-driven, intentional misleading where the reasoning process contradicts outputs.",wang2025thinking,2601.19928,"Towards a Mechanistic Understanding of Large Reasoning Models: A Survey of Training, Inference, and Failures"
bare_jrnl.tex,"While \cite{TelecomFoundationModels} and \cite{AIFoundationModelsInRemoteSensing} focus more on conceptual insights and visionary perspectives, this work thoroughly examines existing studies and current literature for detailed understanding.",TelecomFoundationModels;AIFoundationModelsInRemoteSensing,2601.03181,Multi-Modal Data-Enhanced Foundation Models for Prediction and Control in Wireless Networks: A Survey
inference-stage.tex,"In contrast to simulation setting in \citet{icl_Garg_casestudy}, \citet{icl_diff_setting} conduct extensive exploration using a series of LLMs, including GPT-3, InstructGPT, Codex, PaLM, and Flan-PaLM, across different configurations.",icl_Garg_casestudy;icl_diff_setting,2601.02907,Beyond the Black Box: A Survey on the Theory and Mechanism of Large Language Models
inference-stage.tex,"However, \citet{wu2025lessunderstandingchainofthoughtlength} challenge this assumption by demonstrating an inverted U-shaped relationship between reasoning length and accuracy.",wu2025lessunderstandingchainofthoughtlength,2601.02907,Beyond the Black Box: A Survey on the Theory and Mechanism of Large Language Models
model-preparation-stage.tex,"\citet{sanford2023representational} introduce the “sparse averaging” task and show that Transformers achieve only $O(\log T)$ communication complexity, in contrast to the polynomial requirements of RNNs and feed-forward networks.",sanford2023representational,2601.02907,Beyond the Black Box: A Survey on the Theory and Mechanism of Large Language Models
01-introduction.tex,"However, in contrast to RAG~\citep{Gao2023RetrievalAugmentedGF, Fan2024ASO}, DR adopts a more flexible, autonomous workflow that eschews handcrafted pipelines and aims to produce coherent, evidence-grounded reports.","Gao2023RetrievalAugmentedGF, Fan2024ASO",2512.02038,Deep Research: A Systematic Survey
03-component.tex,"For example, Mem0~\cite{chhikara2025mem0} implements an explicit \texttt{DELETE} command to remove outdated or contradictory facts.",chhikara2025mem0,2512.02038,Deep Research: A Systematic Survey
03-component.tex,"For example, MEOW~\cite{gu2024meow} facilitates efficient forgetting by fine-tuning an LLM on generated contradictory facts, effectively overwriting undesirable memories stored in its weights.",gu2024meow,2512.02038,Deep Research: A Systematic Survey
Evaluation_Metrics.tex,"In survey-style creativity tasks, even expert judges may disagree significantly \citep{ismayilzada2025creativityaiprogresseschallenges}.",ismayilzada2025creativityaiprogresseschallenges,2511.07448,Large Language Models for Scientific Idea Generation: A Creativity-Centered Survey
Inference_Time.tex,\textit{CriticAL} \citep{li2024critical} further enhances this by applying statistical reasoning—such as hypothesis testing—to identify contradictions and weaknesses.,li2024critical,2511.07448,Large Language Models for Scientific Idea Generation: A Creativity-Centered Survey
1_intro.tex,"To address these gaps, we provide a comprehensive and up-to-date overview by systematically reviewing more than 180 papers published since 2021.\footnote{Some articles were retrieved from public repositories such as \url{https://github.com/chrisliu298/awesome-llm-unlearning}.} In contrast to other recent surveys on LLM unlearning~\citep{ren2025sok,geng2025comprehensive}, our work introduces a novel taxonomy and delivers an in-depth analysis, with specific contributions outlined below.","ren2025sok,geng2025comprehensive",2510.25117,A Survey on Unlearning in Large Language Models
5_challenges.tex,"%\subsubsection{Effective Evaluation} %\label{sec:dis_eval} %However, \citet{chen2025soft} demonstrate that widely used tools like soft token attacks can force the model to generate any target strings, raising doubts about their reliability as auditors.",chen2025soft,2510.25117,A Survey on Unlearning in Large Language Models
5_challenges.tex,"%However, \citet{Liu2024Large} challenge the use of MIAs for assessing LLM unlearning, since effective MIAs require training many shadow models, which is not only infeasible due to the inaccessibility of complete training data, but also computationally intractable given the costs of fine-tuning numerous LLMs.",Liu2024Large,2510.25117,A Survey on Unlearning in Large Language Models
s4-llm4tag.tex,"In contrast to approaches that jointly optimize structure and text, GRAD \cite{mavromatis2023train} employs a shared language model for bidirectional optimization.",mavromatis2023train,2510.21131,Large Language Models Meet Text-Attributed Graphs: A Survey of Integration Frameworks and Applications
main.tex,"In contrast to high-resource languages that benefit from mature suites such as GLUE\cite{glue}, XTREME\cite{xtreme}, MMLU\cite{mmlu} and CMMLU\cite{cmmlu}, Tibetan AI still lacks unified evaluation protocols and public benchmark sets.",glue;xtreme;mmlu;cmmlu,2510.19144,"Tibetan Language and AI: A Comprehensive Survey of Resources, Methods and Challenges"
main.tex,"However, this autonomy itself contains a profound contradiction, forming a prisoner's dilemma: on one hand, we desire to allow agents to explore in open environments to achieve unexpected breakthroughs (cooperative rewards) \cite{niu2025flowmodularizedagenticworkflow}; on the other hand, we fear total loss of control, concerned that they may evolve harmful or incomprehensible behaviors (the risk of betrayal).",niu2025flowmodularizedagenticworkflow,2510.17491,"Empowering Real-World: A Survey on the Technology, Practice, and Evaluation of LLM-driven Industry Agents"
sample-acmsmall.tex,"NLI specifically involves determining whether a given statement (hypothesis) logically follows from another statement (premise), categorized as entailment, contradiction, or neutral~\cite{abriefsurvery}.",abriefsurvery,2510.17892,Advances in Pre-trained Language Models for Domain-Specific Text Classification: A Systematic Review
acl_latex.tex,"% \citet{lu2024small} quantified SLM advantages through statistical and experimental analysis, while \citet{van2024survey} focused on architectures, training, and compression methods, and \citet{xu2024device} discussed on-device model deployment—all without an in-depth analysis of collaboration mechanisms.",lu2024small;van2024survey;xu2024device,2510.13890,"A Survey on Collaborating Small and Large Language Models for Performance, Cost-effectiveness, Cloud-edge Privacy, and Trustworthiness"
app.tex,"Building on this inductive foundation, \citet{DBLP:journals/corr/abs-2509-17393} propose a transductive framework: at test time, they actively select test inputs, have the LLM predict their outputs, and eliminate candidate programs that disagree — this refines the inductive hypothesis space using feedback.",DBLP:journals/corr/abs-2509-17393,2510.10182,A Survey of Inductive Reasoning for Large Language Models
4_structure_sourcing.tex,"In contrast to the former, this viewpoint contends that a model's capabilities do not arise from isolated modules but instead manifest as systemic properties that emerge from the dynamic collaboration among multiple components~\cite{wei2024stable,deng2024everything}.","wei2024stable,deng2024everything",2510.10161,Large Language Model Sourcing: A Survey
4_structure_sourcing.tex,"\subsubsection{Sourcing from Connection Modules} \label{sec:structure-post-modular} In contrast to component isolation, a systemic perspective posits that model capabilities emerge from the dynamic cooperation among specialized modules~\cite{DBLP:journals/corr/abs-2503-05788,DBLP:journals/corr/abs-2506-11135}.","DBLP:journals/corr/abs-2503-05788,DBLP:journals/corr/abs-2506-11135",2510.10161,Large Language Model Sourcing: A Survey
main.tex,"\subsection{Informed Search: Heuristic-Guided Exploration} In contrast to their uninformed counterparts, \textbf{informed search}, or \textbf{heuristic search}, algorithms leverage additional knowledge about the goal's location through domain-specific hints \citep{DBLP:books/aw/RN2020, pearl1984heuristics}.","DBLP:books/aw/RN2020, pearl1984heuristics",2510.09988,Unifying Tree Search Algorithm and Reward Design for LLM Reasoning: A Survey
main.tex,"However, \cite{chen2024not} and \cite{zeng2024scaling} observe that tree-search models often overanalyze simple questions, dedicating excessive computational resources to tasks that have clear answers.",chen2024not;zeng2024scaling,2510.09988,Unifying Tree Search Algorithm and Reward Design for LLM Reasoning: A Survey
