file,sentence,cited_keys,survey_arxiv_id,survey_title,sentence_id,drop_reason
main.tex,"On the other hand, the softmax probability of word generation is computed based on decoder's hidden state at time $h_t$, the input context vector $c^e_t$, and decoder context vector $c_t^d$: %$$p(y_t|s_t=0) = \text{softmax}f(h_t,c^e_t, c_t^d).$$The final probably distribution for words at time step $t$ is then the same as in \cite{abs4_SeeLM17}.",abs4_SeeLM17,1804.04589,A Survey on Neural Network-Based Summarization Methods,s0013,single_cite_key
ShortSurvey.tex,"Conversely \cite{jauhiainen6} found that, for the same method, the best results for the evaluation set were attained with 20,000 features per language.",jauhiainen6,1804.08186,Automatic Language Identification in Texts: A Survey,s0015,single_cite_key
arXiv-tem.tex,~\cite{risch2016detecting} on the other hand studied and used LDA for detecting Twitter topics.,risch2016detecting,1804.08234,PeRView: A Framework for Personalized Review Selection Using Micro-Reviews,s0016,single_cite_key
arXiv-tem.tex,Liu~{et~al.}~\cite{LiuMSZ10a}[27] on the other hand used feature selection approach used in data mining and its utility in reducing complexity in data mining procedures.,LiuMSZ10a,1804.08234,PeRView: A Framework for Personalized Review Selection Using Micro-Reviews,s0017,single_cite_key
misinfo-survey-clean.tex,"Conversely, disinformation is spread \emph{with} the intent to deceive~\cite{pomerantsev2014menace}.",pomerantsev2014menace,1804.08559,False Information on Web and Social Media: A Survey,s0018,single_cite_key
anaphora-and-coreference-resolution.tex,"Lappin and Leass~\citep{lappin1994algorithm} algorithm, on the other hand, can be seen as a hybrid since it was both syntax- and discourse-based.",lappin1994algorithm,1805.11824,Anaphora and Coreference Resolution: A Review,s0020,single_cite_key
coling2018.tex,"On the other hand, the model centric category focuses on NMT models that are specialized for domain adaptation, which can be either the training objective \cite{luong2015stanford,sennrich-haddow-birch:2016:P16-11,domspec,domfast,iwnmt,costweighting,varga:2017,dakw:17fine,chu:2017:ACL,micelibarone-EtAl:2017:EMNLP2017}, the NMT architecture \cite{domcont,DBLP:journals/corr/GulcehreFXCBLBS15,britz-le-pryzant:2017:WMT} or the decoding algorithm \cite{DBLP:journals/corr/GulcehreFXCBLBS15,dakw:17fine,","luong2015stanford,sennrich-haddow-birch:2016:P16-11,domspec,domfast,iwnmt,costweighting,varga:2017,dakw:17fine,chu:2017:ACL,micelibarone-EtAl:2017:EMNLP2017;domcont,DBLP:journals/corr/GulcehreFXCBLBS15,britz-le-pryzant:2017:WMT;DBLP:journals/corr/GulcehreFXCBLBS15,dakw:17fine,khayrallah-EtAl:2017:I17-2",1806.00258,A Survey of Domain Adaptation for Neural Machine Translation,s0021,likely_latex_artifact
main.tex,"On the other hand, hybrid approaches \cite{yang2013joint} combine the robustness and the high accuracy of Machine Learning (ML) algorithms with the fine-grained modeling of linguistic rules.",yang2013joint,1806.07787,Opinion Dynamics Modeling for Movie Review Transcripts Classification with Hidden Conditional Random Fields,s0022,single_cite_key
2_typology.tex,"%Example for phonemic: consonant phoneme inventory \cite{lindblom1988phonetic} On the other hand, \textit{semantic} typology studies languages at the semantic and pragmatic levels.",lindblom1988phonetic,1807.00914,Modeling Language Variation and Universals: A Survey on Typological Linguistics for Natural Language Processing,s0023,single_cite_key
samplebody-conf-v1.tex,"On the other hand, \cite{knijnenburg2012explaining} indicates users' subjective reviews of their interaction influence others experience, but they have not gain observable attention.",knijnenburg2012explaining,1807.06978,Improving Explainable Recommendations with Synthetic Reviews,s0025,single_cite_key
samplebody-conf-v1.tex,"On the other hand, deep learning techniques have improved the machine generated text, especially recurrent neural networks (RNNs) \cite{sutskever2011generating}.",sutskever2011generating,1807.06978,Improving Explainable Recommendations with Synthetic Reviews,s0026,single_cite_key
samplebody-conf-v1.tex,"On the other hand, neural network has recently shown improvements in natural language processing (NLP) domain, such as text classification \cite{hughes2017medical}, sentiment analysis \cite{wang2018sentiment}, and text generation \cite{DBLP:conf/iui/CostaODL18, sutskever2011generating}.","hughes2017medical;wang2018sentiment;DBLP:conf/iui/CostaODL18, sutskever2011generating",1807.06978,Improving Explainable Recommendations with Synthetic Reviews,s0027,all_keys_unresolved
samplebody-conf-v1.tex,"On the other hand, neural network also performed marvelous performance in natural language process (NLP) domain recently, such as text classification \cite{hughes2017medical}, sentiment analysis \cite{wang2018sentiment}, and text generation \cite{DBLP:conf/iui/CostaODL18, sutskever2011generating}.","hughes2017medical;wang2018sentiment;DBLP:conf/iui/CostaODL18, sutskever2011generating",1807.06978,Improving Explainable Recommendations with Synthetic Reviews,s0028,all_keys_unresolved
samplebody-conf-v1.tex,"On the other hand, we use DeepCoNN \cite{zheng2017joint} to analyze our generated reviews on recommendation task.",zheng2017joint,1807.06978,Improving Explainable Recommendations with Synthetic Reviews,s0029,single_cite_key
samplebody-conf-v1.tex,"On the other hand, we use DeepCoNN \cite{zheng2017joint}, a novel deep learning recommender system making use of reviews for rating prediction, to analyze our generated reviews on recommendation point.",zheng2017joint,1807.06978,Improving Explainable Recommendations with Synthetic Reviews,s0030,single_cite_key
samplebody-conf-v2.tex,"On the other hand, neural networks have recently shown improvements in the natural language processing (NLP) domain, such as text classification \cite{hughes2017medical}, sentiment analysis \cite{wang2018sentiment}, and text generation \cite{DBLP:conf/iui/CostaODL18, sutskever2011generating}.","hughes2017medical;wang2018sentiment;DBLP:conf/iui/CostaODL18, sutskever2011generating",1807.06978,Improving Explainable Recommendations with Synthetic Reviews,s0031,all_keys_unresolved
main1.tex,"%On the other hand, the authors in \cite{c8} used the ML approach, they developed a framework that analyze Arabic tweets and comments and then classify them to positive, negative, or neutral sentiment.",c8,1809.02782,Sentiment analysis for Arabic language: A brief survey of approaches and techniques,s0033,single_cite_key
discussion.tex,"On the other hand, the existing HIPAA Safe Harbor standard may already limit researchers’ ability to perform various studies by masking relevant information, such as restricting location to three-digit zip codes (applicable to many social and public health studies), which may limit accuracy in health research (\cite{benitez2010beyond}).",benitez2010beyond,1810.06765,A survey of automatic de-identification of longitudinal clinical narratives,s0034,single_cite_key
icis.tex,"On the other hand, the results of, for example, \citet{Mudambi.2010} indicate the greater helpfulness of positive reviews.",Mudambi.2010,1810.10942,Understanding the Role of Two-Sided Argumentation in Online Consumer Reviews: A Language-Based Perspective,s0035,single_cite_key
samplebody-journals.tex,"On the other hand, these (discriminative) attributes identified can be used to automatically detect fake news using its writing style, where a typical study using supervised learning can be seen in \cite{zhou2019content}; we will provide further details in Section \ref{sec::style}.",zhou2019content,1812.00315,"A Survey of Fake News: Fundamental Theories, Detection Methods, and Opportunities",s0036,single_cite_key
samplebody-journals.tex,"On the other hand, to be further processed by neural networks such as VGG-16/19~\cite{simonyan2014very} to obtain a latent representation, each image is often embedded as a pixel matrix or tensor with size $width\times height\times \#channel(s)$, where channels can be the gray value (\#channels=1) or RGB data (\#channels=3).",simonyan2014very,1812.00315,"A Survey of Fake News: Fundamental Theories, Detection Methods, and Opportunities",s0037,single_cite_key
early_attempts.tex,"On the other hand, \citet{zelle1996learning} build a framework which converts the natural language sentence to a database query, facilitating straightforward evaluation: by implementing the query on the database, one can check if the answer returned is satisfactory.",zelle1996learning,1812.00978,A Survey on Semantic Parsing,s0038,single_cite_key
from_denotations.tex,"On the other hand, unstructured QA \cite{das2017question,chen2017reading,wang2018r3,sun2018open} mainly focuses on the retrieval task of matching queries to documents and then obtaining the answer using some local context such as the paragraph or sentence that is retrieved.","das2017question,chen2017reading,wang2018r3,sun2018open",1812.00978,A Survey on Semantic Parsing,s0040,all_keys_unresolved
aistats2019.tex,"%Inspired by variational auto-encoders (VAE) \cite{kingma2013auto, rezende2014stochastic}, %Probabilistic approaches on the other hand, allows for designing the structure corresponding to data, as well as tendency to learn interpretable topics therefore learning representation that potentially can be used for various tasks, inference quickly becomes a difficult task as the model becomes more complicated due to replying on conjugacy.","kingma2013auto, rezende2014stochastic",1812.05035,Structured Neural Topic Models for Reviews,s0041,all_keys_unresolved
SurveyFinal.tex,"On the other hand, Transformer encoder is faster than recursive layers when the length of the sequence $n$ is smaller than the dimensionality of the representation $d$ (complexities: self-attention $\mathcal{O} (n^2 \cdot d)$ and recurrent $\mathcal{O} (n\cdot d^2)$) \cite{vaswani2017attention}.",vaswani2017attention,1812.09449,A Survey on Deep Learning for Named Entity Recognition,s0042,single_cite_key
discourse-nmt-eval.tex,"Conversely, non-WSD errors are equated to cohesion errors, although the authors concede that ``these types are not mutually exclusive and the distinction is not always so clear.'' While cohesion errors \emph{per se} can in principle be counted automatically \citep{D12-1097}, WSD errors, as well as non-WSD errors not related to cohesion (e.g.\ due to collocations or terminology) are more difficult to spot without human intervention.",D12-1097,1901.09115,Context in Neural Machine Translation: A Review of Models and Evaluations,s0044,single_cite_key
Towards_a_Robust_Deep_Neural_Network_in_Texts_A_Survey.tex,"On the other hand, enhancing the transferability is meaningful in more practical black-box attacks, and the combination of optimization-based and transferability-based methods is another viable way like the work in \cite{fsjcdeyt2020}.",fsjcdeyt2020,1902.07285,Towards a Robust Deep Neural Network in Texts: A Survey,s0045,single_cite_key
content.tex,"On the other hand, \cite{shao2017efficient} use co-mentions in tweets to create a social network of users.",shao2017efficient,1903.05801,Survey of Text-based Epidemic Intelligence: A Computational Linguistic Perspective,s0046,single_cite_key
main.tex,"On the other hand, consumers tend to research on consumer electronics products because these products change very frequently, with new products and updates of existing ones~\cite{chakraborty2018effects}.",chakraborty2018effects,1903.12452,A framework for fake review detection in online consumer electronics retailers,s0047,single_cite_key
2-benchmarks.tex,"On the other hand, since the linguistic structures which refer to specific events are much more flexible than those for entities \cite{chenGraphbasedEventCoreference2009}, disambiguating event references may be more challenging than the existing benchmarks for entity reference resolution.",chenGraphbasedEventCoreference2009,1904.01172,"Recent Advances in Natural Language Inference: A Survey of Benchmarks, Resources, and Approaches",s0048,single_cite_key
3-resources.tex,"Information for using Wikidata can be found at \url{https://www.wikidata.org/}.} \subsubsection{Commonsense Knowledge Resources}\label{representation commonsense} Commonsense knowledge, on the other hand, is considered obvious to most humans, and not likely to be explicitly stated \cite{cambriaIsanetteCommonCommon2011a}.",cambriaIsanetteCommonCommon2011a,1904.01172,"Recent Advances in Natural Language Inference: A Survey of Benchmarks, Resources, and Approaches",s0051,single_cite_key
information-479316.tex,"Accuracy and error~($\frac{FP+FN}{TP+TN+FP+FN}=1-\text{accuracy}$), on the other hand, are not widely used for text classification applications because they are insensitive to variations in the number of correct decisions due to the large value of the denominator~($TP+TN$)~\cite{yang1999evaluation}.",yang1999evaluation,1904.08067,Text Classification Algorithms: A Survey,s0053,single_cite_key
main.tex,"Supervised methods on the other hand, have more powerful modeling capabilities and typically achieve higher accuracy than the unsupervised ones according to previous studies \citep{DBLP:journals/lre/KimMKB13, caragea2014citation, meng2017deep}.","DBLP:journals/lre/KimMKB13, caragea2014citation, meng2017deep",1905.05044,A Review of Keyphrase Extraction,s0054,all_keys_unresolved
transfer_learning.tex,"On the other hand, \citet{nguyen17} utilized the lexical similarity between related source languages using a small subword vocabulary.",nguyen17,1905.05395,A Brief Survey of Multilingual Neural Machine Translation,s0055,single_cite_key
auxiliary.tex,"On the other hand, \citet{C18-1263} propose a simple modification to \citet{johnson17} by augmenting the model input.",C18-1263;johnson17,1905.05395,A Brief Survey of Multilingual Neural Machine Translation,s0056,insufficient_resolved_lt_2
auxiliary.tex,"On the other hand, \citet{D18-1039} improved upon \citet{C18-1263} to generate parameters on the fly for different language pairs.",D18-1039;C18-1263,1905.05395,A Brief Survey of Multilingual Neural Machine Translation,s0057,all_keys_unresolved
multiway.tex,"On the other hand, \citet{firat16} proposed a model comprised of separate embeddings, encoders and decoders for each language.",firat16,1905.05395,A Brief Survey of Multilingual Neural Machine Translation,s0058,single_cite_key
main.tex,"Humans, on the other hand, need twenty minutes~\cite{maldonado2015detecting} to assess if those 100 comments a for ``self-admitted technical debt'' (defined later in this paper).",maldonado2015detecting,1905.08297,Better Technical Debt Detection via SURVEYing,s0060,single_cite_key
03_Sinhala.tex,"On the other hand, the most prolific single project of Sinhala NLP we have observed so far is an attempt to create an end-to-end Sinhala-to-English translator~\cite{hettige2006morphological,hettige2006parser,hettige2006first,hettige2007developing,hettige2007transliteration,hettige2007using,hettige2008web,hettige2008web1,hettige2009theoretical,hettige2010evaluation,hettige2010varanageema,hettige2011computational,hettige2013selected,hettige2012multi,hettige2013masmt,hettige2014sinhala,hettige2016m","hettige2006morphological,hettige2006parser,hettige2006first,hettige2007developing,hettige2007transliteration,hettige2007using,hettige2008web,hettige2008web1,hettige2009theoretical,hettige2010evaluation,hettige2010varanageema,hettige2011computational,hettige2013selected,hettige2012multi,hettige2013masmt,hettige2014sinhala,hettige2016multi,hettige2017phrase,hettige2021masmt4",1906.02358,Survey on Publicly Available Sinhala Natural Language Processing Tools and Research,s0063,likely_latex_artifact
03_Sinhala.tex,% \citet{sen2019parallel} on the other hand attempted to improve the quality of the Sinhala-English parallel corpora using fuzzy string matching where they tried to match the English translation of the given Sinhala sentence to the English sentence in the dataset pair.,sen2019parallel,1906.02358,Survey on Publicly Available Sinhala Natural Language Processing Tools and Research,s0065,single_cite_key
03_Sinhala.tex,\citet{thennakon2025real} on the other hand reports 96\% accuracy in recognising real-time Sinhala Sign Language signs.,thennakon2025real,1906.02358,Survey on Publicly Available Sinhala Natural Language Processing Tools and Research,s0066,single_cite_key
stance_and_fakenews.tex,"The same goes for \textit{veracity classification} which, on the other hand, is the task of resolving some claim by analysing crowd reactions\cite{derczynski17}.",derczynski17,1907.00181,Fake News Detection using Stance Classification: A Survey,s0067,single_cite_key
stance_and_fakenews.tex,"""Denmark is the most environmentally-friendly country in the world"" on the other hand could be considered fake news, as Denmark ranks 3 by EPI\footnote{see https://epi.envirocenter.yale.edu/epi-topline} and since the intention could be to lead people to buy specific environmentally-friendly products \texttt{PHEME} is a project dealing with the fake news detection problem described above, focusing on veracity of data in social media and on the web\cite{pheme}.",pheme,1907.00181,Fake News Detection using Stance Classification: A Survey,s0068,single_cite_key
charnets_long.tex,"With character graphs in particular, on the one hand too large windows will miss many details, as relationships in works of fiction can evolve quickly, and on the other hand too small windows will result in very unstable networks, which may hide relevant information~\cite{Oelke2013}.",Oelke2013,1907.02704,Extraction and Analysis of Fictional Character Networks: A Survey,s0069,single_cite_key
XAISurvey.tex,"On the other hand, the exposition \cite{pmid30790315} argues that a certain degree of opaqueness is acceptable, i.e.",pmid30790315,1907.07374,A Survey on Explainable Artificial Intelligence (XAI): Towards Medical XAI,s0070,single_cite_key
coling2020.tex,"The second best approach \cite{spmmmp}, with macro F$_1$ $75.52\%$, on the other hand, employed an ensemble of CNNs whose outputs were fed to a meta classifier for final prediction.",spmmmp,1908.06024,Tackling Online Abuse: A Survey of Automated Abuse Detection Methods,s0071,single_cite_key
coling2020.tex,"On the other hand, automated systems can invalidate abusive experiences, particularly for victims whose experiences may not lie in the realm of \textit{typical} ones \cite{blackwell2017classification}.",blackwell2017classification,1908.06024,Tackling Online Abuse: A Survey of Automated Abuse Detection Methods,s0072,single_cite_key
acl2019.tex,"On the other hand, the injection of fine-grained polarity information has been shown to be a key ingredient to build competitive sentiment predictors by \citet{socher2013recursive}.",socher2013recursive,1908.11216,From the Token to the Review: A Hierarchical Multimodal approach to Opinion Mining,s0073,single_cite_key
emnlp2016.tex,"On the other hand, the system by \cite{hhu:16} was the best performing at both tweet and token level for the MSA-DA data set.",hhu:16,1909.13016,Overview for the Second Shared Task on Language Identification in Code-Switched Data,s0074,single_cite_key
fruct.tex,"Authors of \cite{Villmow2018}, on the other hand, utilized a more complex neural network structure based on LSTMs (Long Short-Term Memory) to build an end-to-end keyphrase extraction system that eliminates the need for manual engineering of statistical features.",Villmow2018,1910.05059,Keyphrase Generation: A Multi-Aspect Survey,s0075,single_cite_key
fruct.tex,"TS studies, on the other hand, have been mostly based on news articles (e.g., \cite{McKeown1995}, \cite{Kaikhah2004} or \cite{Harabagiu2005}).",McKeown1995;Kaikhah2004;Harabagiu2005,1910.05059,Keyphrase Generation: A Multi-Aspect Survey,s0076,all_keys_unresolved
main.tex,"On the other hand, Obj-GAN~\citep{DBLP:journals/corr/abs-1902-10740} focuses on object centered text-to-image synthesis.",DBLP:journals/corr/abs-1902-10740,1910.09399,A Survey and Taxonomy of Adversarial Neural Networks for Text-to-Image Synthesis,s0077,single_cite_key
Applications.tex,"%} On the other hand, DKRL~\cite{xie2016representation} has been evaluated on all kinds of link prediction tasks: head, tail, and relation predictions.",xie2016representation,1910.12507,A Survey on Knowledge Graph Embeddings with Literals: Which model links better Literal-ly?,s0078,single_cite_key
sec2-background.tex,"Beam search \cite{Graves:12}, on the other hand, keeps a fixed number (\textit{b}) of translation hypotheses with the highest log-probability at each timestep.",Graves:12,1912.08494,A Survey on Document-level Neural Machine Translation: Methods and Evaluation,s0080,single_cite_key
main.tex,"I.e., the label distribution of a predictive model reflects a human attribute in a way that diverges from a theoretically defined ``ideal distribution.'' For example, a Part Of Speech (POS) tagger reflecting how an older generation uses words \cite{hovy2015tagging} diverges from the population as a whole.",hovy2015tagging,1912.11078,Predictive Biases in Natural Language Processing Models: A Conceptual Framework and Overview,s0081,single_cite_key
transfer_learning.tex,"Could you point out some limitations you can think of and some potential point of future focus?} %On the other hand, \citet{kocmi-bojar:2018:WMT} showed that transfer learning improves low-resource language translation, even when neither the source nor the target languages are shared between the resource-rich and poor language pairs.",kocmi-bojar:2018:WMT,2001.01115,A Comprehensive Survey of Multilingual Neural Machine Translation,s0082,single_cite_key
domain_adaptation.tex,"On the other hand, data selection approaches in domain adaptation that select out-of-domain sentences which are similar to in-domain sentences \cite{wang-EtAl:2017:Short3} have not been applied to MNMT.",wang-EtAl:2017:Short3,2001.01115,A Comprehensive Survey of Multilingual Neural Machine Translation,s0083,single_cite_key
auxiliary.tex,"On the other hand, \citet{C18-1263} propose a simple modification to \citet{johnson17} by augmenting the model input.",C18-1263;johnson17,2001.01115,A Comprehensive Survey of Multilingual Neural Machine Translation,s0084,all_keys_unresolved
auxiliary.tex,"On the other hand, \citet{D18-1039} improved upon \citet{C18-1263} to generate parameters on the fly for different language pairs.",D18-1039;C18-1263,2001.01115,A Comprehensive Survey of Multilingual Neural Machine Translation,s0085,all_keys_unresolved
multisource.tex,"On the other hand, \citet{Dabre-MTS2017} have shown that it is possible to perform naive ensembling\footnote{This means uniform avergaging of softmaxes of different models as opposed to weighted averaging.} and still get reasonable improvements in translation quality.",Dabre-MTS2017,2001.01115,A Comprehensive Survey of Multilingual Neural Machine Translation,s0086,single_cite_key
multiway.tex,"On the other hand, \citet{platanios18} learned the degree of parameter sharing from the training data.",platanios18,2001.01115,A Comprehensive Survey of Multilingual Neural Machine Translation,s0087,single_cite_key
multiway.tex,"On the other hand, \citet{kiperwasser-ballesteros-2018-scheduled} proposed a multi-task learning model for learning syntax and translation where they showed different effects of their model for high-resource and low resource language pairs.",kiperwasser-ballesteros-2018-scheduled,2001.01115,A Comprehensive Survey of Multilingual Neural Machine Translation,s0088,single_cite_key
multiway.tex,"On the other hand, \citet{platanios18} improved upon \citet{blackwood18} to generate parameters on the fly for different language pairs.",platanios18;blackwood18,2001.01115,A Comprehensive Survey of Multilingual Neural Machine Translation,s0089,all_keys_unresolved
Section1.tex,"On the other hand, some researchers limited their survey work on a special part related to NMT — the Attention Mechanism, but both of them have a general scope that oriented to all kinds of AI tasks with Attention \cite{Chaudhari2019}\cite{Galassi2019}.",Chaudhari2019;Galassi2019,2002.07526,A Survey of Deep Learning Techniques for Neural Machine Translation,s0090,all_keys_unresolved
Section2.tex,"While further research of the aforementioned LM with statistical method has become almost stagnant, Neural Language Model (NLM)\cite{Bengio2003}, on the other hand, uses a neural network to build a language model that models text data directly.",Bengio2003,2002.07526,A Survey of Deep Learning Techniques for Neural Machine Translation,s0091,single_cite_key
2_spatial.tex,"On the other hand, if the order number is large, GNNs may average all node representations, causing an over-smoothing issue and losing its focus on the local neighborhood~\cite{li2018deeper}.",li2018deeper,2002.11867,Bridging the Gap between Spatial and Spectral Domains: A Survey on Graph Neural Networks,s0093,single_cite_key
main.tex,"On the other hand, in abstractive summarization, it was ~\cite{rush2015neural} which, for the first time, used attention over a sequence-to-sequence (seq2seq) model for the problem of headline generation.",rush2015neural,2003.01200,Natural Language Processing Advancements By Deep Learning: A Survey,s0094,single_cite_key
survey.tex,The benefit of pre-trained network for transfer learning decrease as the target task diverges from the original task of the pre-trained network~\cite{yosinskiHowTransferableAre2014}.,yosinskiHowTransferableAre2014,2003.04241,Deep Neural Networks for Automatic Speech Processing: A Survey from Large Corpora to Limited Data,s0095,single_cite_key
main.tex,"The work presented in \cite{Yu:2019:VDA:3292500.3330991}, on the other hand, supports a hybrid visual/natural language interaction mechanism, where recommendations are displayed visually, and users can provide feedback to certain features in a critiquing-like form in natural language.",Yu:2019:VDA:3292500.3330991,2004.00646,A Survey on Conversational Recommender Systems,s0097,single_cite_key
template.tex,"On the other hand, based upon pre-trained deep models, meta-learning adapts task-specific learners to unseen tasks rapidly without precision loss \cite{Munkhdalai2018}.",Munkhdalai2018,2004.11149,A Comprehensive Overview and Survey of Recent Advances in Meta-Learning,s0098,single_cite_key
template.tex,"On the other hand, unsupervised learning allows parameter adaptation in the inner loop to be independent of data labels \cite{Metz2019}.",Metz2019,2004.11149,A Comprehensive Overview and Survey of Recent Advances in Meta-Learning,s0099,single_cite_key
sample-acmsmall.tex,"\cite{HadjTaieb2019}, on the other hand, describe various semantic relatedness methods and Berna Altınel et al.",HadjTaieb2019,2004.13820,Evolution of Semantic Similarity -- A Survey,s0100,single_cite_key
approaches.tex,"On the other hand, for applications that need specific invertible features, still the framework in \cite{PLC2016} will be useful.",PLC2016,2005.07794,On Deep Speech Packet Loss Concealment: A Mini-Survey,s0101,single_cite_key
elsarticle-template.tex,"In terms of dividing the products into two parts, search goods, and experience goods,\ \cite{mudambi2010makes} demonstrated that the extreme reviews are less helpful than moderate reviews for the former products; on the contrary, extreme reviews are more helpful for the latter.\ \cite{willemsen2011highly} found negative information in reviews are more paramount in making purchase decision, while only for experience products rather than search products, comparing to positive information; converse",mudambi2010makes;willemsen2011highly;huang2017social,2005.09837,Positive emotions help rank negative reviews in e-commerce,s0102,all_keys_unresolved
main.tex,"On the other hand, \citet{severyn_opinion_2014} proposed a systematic approach to mine user comments that relies on tree kernel models.",severyn_opinion_2014,2005.13362,A Multi-modal Approach to Fine-grained Opinion Mining on Video Reviews,s0103,single_cite_key
main.tex,On the other hand \citet{pham_seq2seq2sentiment:_2018} introduced multi-modal sequence-to-sequence models which perform specially well in bi-modal settings.,pham_seq2seq2sentiment:_2018,2005.13362,A Multi-modal Approach to Fine-grained Opinion Mining on Video Reviews,s0104,single_cite_key
main.tex,"On the other hand, in this work we model video feature extraction using I3D \cite{carreira2017quo}.",carreira2017quo,2005.13362,A Multi-modal Approach to Fine-grained Opinion Mining on Video Reviews,s0105,single_cite_key
coling2020.tex,"On the other hand, HAM \cite{ham} ignores the history questions and uses the current question as a query with positional History Answer Embeddings (section \ref{history_modelling}), thus generating one output sequence per conversation turn.",ham,2006.00671,Conversational Machine Comprehension: a Literature Review,s0108,single_cite_key
000_all.tex,"The \textsc{masi} metric \citep{gatt-etal-2008-tuna}, on the other hand, adapts the Jaccard coefficient, which biases it in favour of similarity when a set of attributes is a subset of the other attribute set.",gatt-etal-2008-tuna,2006.14799,Evaluation of Text Generation: A Survey,s0111,single_cite_key
000_all.tex,"On the other hand, \textbf{\textsc{quick-thought}} \citep{logeswaran2018an} is based on an unsupervised model of universal sentence embeddings trained on consecutive sentences.",logeswaran2018an,2006.14799,Evaluation of Text Generation: A Survey,s0112,single_cite_key
000_all.tex,"\cite{Joty2017}, on the other hand, compare the source and target documents based on the similarity of their discourse trees.",Joty2017,2006.14799,Evaluation of Text Generation: A Survey,s0113,single_cite_key
survey.tex,"Conversely, \cite{LocalScaleInvariance} process multiple scaled versions of the same input obtained using bi-linear interpolation at each convolutional layer.",LocalScaleInvariance,2006.16867,Boosting Deep Neural Networks with Geometrical Prior Knowledge: A Survey,s0114,single_cite_key
main2.tex,"On the other hand, \citet{wei2019novel}, which also utilizes BERT, achieved best results on the distantly supervised NYT dataset.",wei2019novel,2007.04247,Neural relation extraction: a survey,s0115,single_cite_key
main.tex,"On the other hand, CBMT \citewpar{dauphin-lux-1996-corpus,carl-2000-model} depends on a large number of aligned sentences such as Statistical Machine Translation (SMT) \citewpar{kondrak-etal-2003-cognates,setiawan-etal-2005-phrase,Koehn:2005,koehn2007moses, green-etal-2014-empirical,junczys-dowmunt-grundkiewicz-2016-phrase} and Neural Machine Translation (NMT) \citewpar{Sutskever:2014:SSL:2969033.2969173, cho2014learning, Bahdanau2016, zhang-etal-2017-incorporating}.","dauphin-lux-1996-corpus,carl-2000-model;kondrak-etal-2003-cognates,setiawan-etal-2005-phrase,Koehn:2005,koehn2007moses, green-etal-2014-empirical,junczys-dowmunt-grundkiewicz-2016-phrase;Sutskever:2014:SSL:2969033.2969173, cho2014learning, Bahdanau2016, zhang-etal-2017-incorporating",2008.01391,A Survey of Orthographic Information in Machine Translation,s0116,likely_latex_artifact
