pair_id,topic,hypothesis_a,source_a,hypothesis_b,source_b,label_5way,label_3way
r10_017,Understandability evaluation of controlled natural languages,"Attempto Controlled English (ACE) has been empirically shown to be easier and faster for people to understand than a conventional ontology notation, when used for authoring or reading OWL statements (Kuhn, 2013, the understandability of OWL statements in controlled English).",kuhn2013swj,"In contrast, empirical experiments evaluating the understandability of the Rabbit controlled natural language for ontology authoring produced only mixed results (Hart, Johnson & Dolbear, 2008, Rabbit: developing a controlled natural language for authoring ontologies).",hart2008eswc,not_contradiction,NotContradiction
r11_000,Eliciting latent predictions from transformer activations,"Accurate early prediction of a transformer's final output can be obtained by directly applying a linear transformation that minimizes the difference between an intermediate layer's activation and the model's final-layer activation (""jump to conclusions"" short-cutting).",din2023jump,"Accurate early prediction of a transformer's final output instead requires training a dedicated loss function (the ""tuned lens"") that aligns the logit distribution produced from an intermediate activation with the final layer's logit distribution, rather than directly matching activations.",belrose2023eliciting,type1_direct_negation,Contradiction
r11_003,Explainable visualization for Wikipedia vandal detection,"Explaining CNN-based Wikipedia vandal detection is best achieved through interactive visualization that correlates model inputs and outputs with the underlying parameter space, using features such as edit frequency and revert counts.",Liu:2019,"Explaining collaborative vandal behavior on Wikipedia is instead best achieved through statistical analysis of vandal behavior patterns, presented via graphical displays of the aggregated statistics, rather than correlating model parameters with individual edits.",Subramanian:2019,not_contradiction,NotContradiction
r11_004,LLM annotator performance on non-English languages,"GPT-3 shows meaningful potential as a data annotator even on languages other than English, suggesting its effectiveness as an annotator extends beyond English-only settings.",ding2022gpt,"Open-source LLMs show a considerable decline in performance when applied to non-English languages (evaluated on French, Dutch, and English NLI tasks), indicating current open-source models do not generalize well as annotators outside English.",mohta2023large,type4_apparent_contextual,Apparent
r11_005,RL-based prompt optimization strategy,"Effective discrete prompts can be discovered via task-agnostic reinforcement learning, learning a general prompt-optimization policy rather than adapting the prompt to each individual query.",deng2022rlprompt,"Effective prompting instead requires test-time, query-dependent reinforcement learning that evaluates and adapts the prompt separately for each specific input, rather than relying on one fixed task-agnostic policy.",zhang2022tempera,type1_direct_negation,Contradiction
r11_006,distributional acquisition of syntactic categories in children,"The child represents each target word as a context vector of frequently co-occurring words, then iteratively groups words into categories using a similarity score computed over these vectors.",redington1998distributional,The child does not need vector-based similarity computations; it is sufficient for the child to count how often words occur within particular frames and group together the words that appear in the most frequent frames.,mintz2003,type1_direct_negation,Contradiction
r11_007,nature of language: symbol system vs. use,"Language, like cognition generally, can be defined as an abstract, formal symbol-manipulation system, in line with computational theories of mind.",pylyshyn1986computation,Language is not an abstract symbol-manipulation system; it is a system that has a function and acquires meaning only when it is actually used to do things in the world.,wittgenstein1953philosophische,type1_direct_negation,Contradiction
r11_008,LLM self-correction without external feedback,"LLMs can iteratively improve their own outputs through self-refinement, using self-generated feedback to critique and revise their own responses without external input.",madaan2023selfrefine,"LLMs cannot reliably self-correct their own reasoning errors; without external feedback, self-correction attempts fail to fix, and can even worsen, their initial responses.",huang2023noselfcorrect,type1_direct_negation,Contradiction
r11_009,mechanistic view of transformer feed-forward layers,"Transformer feed-forward layers function as key-value memories at the level of individual neurons: each neuron/key correlates with a textual pattern in the training data, and each value induces a distribution over the output vocabulary.",geva-etal-2021-transformer,"Based on causal tracing analysis of GPT-2, transformer MLP layers are better characterized as a single linear associative memory rather than a collection of per-neuron key-value pairs.",NEURIPS2022_6f1d43d5,type1_direct_negation,Contradiction
r11_011,lexical overlap and cross-lingual transfer,"Lexical overlap between source and target languages is a highly important feature for predicting cross-lingual transfer success on syntactic tasks (POS tagging, NER, dependency parsing), but a much less important feature for the semantic task of NLI.",lin_choosing_2019,"Lexical overlap shows the opposite importance pattern across task types when predicting zero-shot cross-lingual transfer performance, contrary to the syntactic-vs-semantic pattern found elsewhere.",ahuja_multi_2022,type1_direct_negation,Contradiction
r11_012,Context effects on lexical complexity,"Malmasi & Zampieri's MAZA system attributes its superior performance on complex word/lexical complexity prediction (SemEval-2016 Task 11) to the use of contextual features, indicating that surrounding context influences how complex a word is perceived to be.",malmasi-zampieri:2016:SemEval,"Kuru's AI-KU system (SemEval-2016 Task 11), using word embeddings and substring features with an SVM classifier, found that context was uninfluential on performance, indicating a word's complexity can be predicted without relying on contextual information.",kuru:2016:SemEval,type1_direct_negation,Contradiction
r12_016,Selecting bias-sensitive identity terms for toxicity detection,The set of identity terms used as bias-sensitive words for toxicity detection should be determined via manual creation of a list of identity terms.,paper20,"Instead, identity attributes for this purpose can be obtained from a dataset's existing annotations of identity attributes (e.g., the identity-attribute annotations in the Civil Comments dataset), rather than manually curating a term list.",paper15,type1_direct_negation,Contradiction
r12_021,Two-stream vs single-stream vision-language pretraining,"Vision-and-language pretraining should apply independent Transformers separately to the visual and linguistic inputs (a two-stream architecture), as in ViLBERT.",lu2019vilbert,"Instead, a single unified Transformer should be applied jointly to the combined textual and image inputs (a single-stream architecture), rather than using independent Transformers for each modality.",li2019visualbert,type1_direct_negation,Contradiction
r13_001,LLM bias and subgroup representativeness,"Large language models can be used to simulate diverse human samples, indicating their outputs can usefully represent varied subgroup perspectives.",argyle2023out,Large language models should not replace human participants in research because they can misportray and flatten the identity and diversity of demographic groups.,wang2024largelanguagemodelsreplace,type1_direct_negation,Contradiction
r16_000,classifier performance comparison,Gradient boosting classifiers achieve better results than random forest classifiers on the classification task under discussion.,barbaresi1,Logistic regression classifiers achieve better results than gradient boosting classifiers on the classification task under discussion.,martinc1,not_contradiction,NotContradiction
r16_001,transformer vs. classic IR for TREC-COVID,A transformer-based retrieval effort that omitted dedicated language model fine-tuning struggled to achieve strong effectiveness in the TREC-COVID / technology-assisted-review biomedical search task.,lima2020denmark,"A classic linear retrieval model based on lexical features and trained via continuous active learning was highly competitive in the TREC 2020 COVID track, leading on at least one effectiveness measure and outperforming several deep-learning-based approaches including a transformer-based effort.",wang2020participation,not_contradiction,NotContradiction
r16_003,linear region density during training,"Zhu et al. (2020) observed that, for ReLU neural networks, the boundaries of linear regions move away from the training data, implying that the linear regions surrounding training points grow larger (become sparser) as training progresses.",zhu2020local,"He et al. (2021), in the 'Neural networks behave as hash encoders' study, conjectured the opposite: that linear regions near training samples become smaller through training (equivalently, activation-pattern boundaries become denser around the training samples), i.e. regions surrounding training points shrink rather than grow as training progresses.",HashEncoders,type1_direct_negation,Contradiction
r16_004,video generation: consistency vs diversity,"Generating a video in a single whole-sequence pass -- as in I2VGen-XL, which performs image-to-video synthesis via cascaded diffusion models -- preserves temporal/content consistency across the generated frames, but this comes at the cost of reduced diversity in the output video.",zhang2023i2vgen,"Generating a video through a multi-step generation process -- as in EIDT-V, a zero-shot, training-free text-to-video method that exploits intersections in diffusion trajectories -- favors greater diversity in the generated output, but struggles to maintain consistency across the generated frames.",jagpal2025eidt,type4_apparent_contextual,Apparent
r16_009,LLM hallucination vs retrieval,"Fine-tuned LLMs equipped with Wikidata-based retrieval, using a few-shot sequence-to-sequence semantic-parsing approach, can substantially reduce hallucination in LLM outputs, treating hallucination as an error that retrieval from a verified knowledge base should suppress.",xu2023fine,"In the CRUSH4SQL approach to Text-to-SQL, an LLM's own hallucinated (fabricated) schema elements can be deliberately used as query probes to rapidly retrieve the actual relevant tables and columns from a large database schema, treating hallucination as a useful signal to drive retrieval rather than purely an error to eliminate.",kothyari2023crush4sql,not_contradiction,NotContradiction
r16_010,induction vs abduction,"In Mill's System of Logic (1858), all methods of generating causal hypotheses are characterized under the single umbrella term 'induction', treating induction as the broad, general category for such reasoning rather than as a special case of some other inferential process.",Mill1858,"Harman (1965) argues that induction is not an independent, fundamental category but merely a specific instance of abduction -- understood comprehensively as Inference to the Best Explanation -- so that enumerative induction is properly a special case of IBE rather than a separate mode of reasoning.",Harman1965,type1_direct_negation,Contradiction
r17_000,Scalability of gradient-based vs. classic hyperparameter-search meta-learning,"MAML (Finn et al., 2017), a gradient-based meta-learning method, demonstrates promising scalability to problems with millions of parameters.",finn2017maml,"Classic hyperparameter-optimization approaches such as random search (Bergstra and Bengio, 2012) are typically only successful in settings with far fewer parameters, in contrast to the scalability gradient-based meta-learning methods like MAML demonstrate.",bergstra2012randomsearchhyper,not_contradiction,NotContradiction
r17_001,Bayesian vs. regularized multi-task relationship learning,"Bonilla, Chai, and Williams (2007) propose a Bayesian multi-task Gaussian process model for multi-task learning.",bcw07,"Zhang and Yeung (2010) propose an alternative, non-Bayesian regularized multi-task model (MTRL) that places a matrix-variate normal prior on the task-relationship weight matrix, differing from the Bayesian Gaussian-process approach.",zy10b,not_contradiction,NotContradiction
