pair_id,question,hypothesis_a,pmid_a,hypothesis_b,pmid_b,label_3way
as_000030,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia","The presence of minor alleles at all the three sites in NOS3 seemed to increase the risk of PE, and AGT 704C allele was associated with a reduced PE risk.",20186148,"However, this polymorphism does not correlate with the severity of hypertension or perinatal outcome.",16167906,Contradiction
as_000031,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia","The presence of minor alleles at all the three sites in NOS3 seemed to increase the risk of PE, and AGT 704C allele was associated with a reduced PE risk.",20186148,The commonly occurring RAS polymorphisms are not predictive of pre-eclampsia or eclampsia in the Black South African population.,15097234,Contradiction
as_000032,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia","The presence of minor alleles at all the three sites in NOS3 seemed to increase the risk of PE, and AGT 704C allele was associated with a reduced PE risk.",20186148,"It is highly likely that the observed small nominal increase in risk of preeclampsia associated with the ACE D-allele is due to small-study bias, similar to that observed in cardiovascular disease.",17194198,NotContradiction
as_000033,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia","The presence of minor alleles at all the three sites in NOS3 seemed to increase the risk of PE, and AGT 704C allele was associated with a reduced PE risk.",20186148,"In conclusion, a molecular variant of ACE, but not angiotensinogen, gene is associated with preeclampsia in Korean women.",15082899,NotContradiction
as_000034,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia","The presence of minor alleles at all the three sites in NOS3 seemed to increase the risk of PE, and AGT 704C allele was associated with a reduced PE risk.",20186148,The result indicates that the AGT M235T polymorphism and the ACE intron 16 polymorphism play no significant role in preeclampsia observed in Korean women.,15294367,Contradiction
as_000035,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia","The presence of minor alleles at all the three sites in NOS3 seemed to increase the risk of PE, and AGT 704C allele was associated with a reduced PE risk.",20186148,"There was no effect of ACE gene polymorphism on pregnancy outcome, the incidence of pregnancy-induced hypertension, or changes in BP during pregnancy.",8841206,Contradiction
as_000036,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia","The presence of minor alleles at all the three sites in NOS3 seemed to increase the risk of PE, and AGT 704C allele was associated with a reduced PE risk.",20186148,"In contrast, plasma Ang II levels were unchanged in preeclamptic patients.",17401503,NotContradiction
as_000037,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia","The presence of minor alleles at all the three sites in NOS3 seemed to increase the risk of PE, and AGT 704C allele was associated with a reduced PE risk.",20186148,"The present data indicate that the DD genotype is a genetic marker associated with an elevated risk of obstetric cholestasis, but this polymorphism of the angiotensin-converting enzyme gene is unlikely to play any significant role in preeclampsia.",11568784,Contradiction
as_000038,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia","The presence of minor alleles at all the three sites in NOS3 seemed to increase the risk of PE, and AGT 704C allele was associated with a reduced PE risk.",20186148,This study has found no evidence that the insertion-deletion polymorphism in the angiotensin-converting enzyme gene is associated with pre-eclampsia.,10459873,Contradiction
as_000039,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",Our findings suggest an association between the DD genotype of the ACE gene and early-onset but not later-onset pre-eclampsia which may give a partial explanation for the higher recurrence risk with early-onset pre-eclampsia.,20044877,The results showed no association between angiotensin-converting enzyme polymorphism and the development of preeclampsia.,15467548,Contradiction
as_000040,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",Our findings suggest an association between the DD genotype of the ACE gene and early-onset but not later-onset pre-eclampsia which may give a partial explanation for the higher recurrence risk with early-onset pre-eclampsia.,20044877,"Carrying the DD genotype may have some influence on the pathogenesis of preeclampsia, perhaps through effects on placental hypoxia or the interaction of hypertensive disease and atherosclerosis, although this influence may not be strong.",16052407,NotContradiction
as_000041,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",Our findings suggest an association between the DD genotype of the ACE gene and early-onset but not later-onset pre-eclampsia which may give a partial explanation for the higher recurrence risk with early-onset pre-eclampsia.,20044877,We found an association between the genotype II and low ACE activity in preeclamptic women and an association between D allele frequency and preeclampsia.,14967168,NotContradiction
as_000042,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",Our findings suggest an association between the DD genotype of the ACE gene and early-onset but not later-onset pre-eclampsia which may give a partial explanation for the higher recurrence risk with early-onset pre-eclampsia.,20044877,We found no association of the two gene polymorphisms with preeclampsia.,17710578,Contradiction
as_000043,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",Our findings suggest an association between the DD genotype of the ACE gene and early-onset but not later-onset pre-eclampsia which may give a partial explanation for the higher recurrence risk with early-onset pre-eclampsia.,20044877,"However, this polymorphism does not correlate with the severity of hypertension or perinatal outcome.",16167906,Contradiction
as_000044,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",Our findings suggest an association between the DD genotype of the ACE gene and early-onset but not later-onset pre-eclampsia which may give a partial explanation for the higher recurrence risk with early-onset pre-eclampsia.,20044877,The commonly occurring RAS polymorphisms are not predictive of pre-eclampsia or eclampsia in the Black South African population.,15097234,Contradiction
as_000045,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",Our findings suggest an association between the DD genotype of the ACE gene and early-onset but not later-onset pre-eclampsia which may give a partial explanation for the higher recurrence risk with early-onset pre-eclampsia.,20044877,"It is highly likely that the observed small nominal increase in risk of preeclampsia associated with the ACE D-allele is due to small-study bias, similar to that observed in cardiovascular disease.",17194198,NotContradiction
as_000046,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",Our findings suggest an association between the DD genotype of the ACE gene and early-onset but not later-onset pre-eclampsia which may give a partial explanation for the higher recurrence risk with early-onset pre-eclampsia.,20044877,"In conclusion, a molecular variant of ACE, but not angiotensinogen, gene is associated with preeclampsia in Korean women.",15082899,NotContradiction
as_000047,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",Our findings suggest an association between the DD genotype of the ACE gene and early-onset but not later-onset pre-eclampsia which may give a partial explanation for the higher recurrence risk with early-onset pre-eclampsia.,20044877,The result indicates that the AGT M235T polymorphism and the ACE intron 16 polymorphism play no significant role in preeclampsia observed in Korean women.,15294367,Contradiction
as_000048,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",Our findings suggest an association between the DD genotype of the ACE gene and early-onset but not later-onset pre-eclampsia which may give a partial explanation for the higher recurrence risk with early-onset pre-eclampsia.,20044877,"There was no effect of ACE gene polymorphism on pregnancy outcome, the incidence of pregnancy-induced hypertension, or changes in BP during pregnancy.",8841206,Contradiction
as_000049,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",Our findings suggest an association between the DD genotype of the ACE gene and early-onset but not later-onset pre-eclampsia which may give a partial explanation for the higher recurrence risk with early-onset pre-eclampsia.,20044877,"In contrast, plasma Ang II levels were unchanged in preeclamptic patients.",17401503,NotContradiction
as_000050,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",Our findings suggest an association between the DD genotype of the ACE gene and early-onset but not later-onset pre-eclampsia which may give a partial explanation for the higher recurrence risk with early-onset pre-eclampsia.,20044877,"The present data indicate that the DD genotype is a genetic marker associated with an elevated risk of obstetric cholestasis, but this polymorphism of the angiotensin-converting enzyme gene is unlikely to play any significant role in preeclampsia.",11568784,Contradiction
as_000051,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",Our findings suggest an association between the DD genotype of the ACE gene and early-onset but not later-onset pre-eclampsia which may give a partial explanation for the higher recurrence risk with early-onset pre-eclampsia.,20044877,This study has found no evidence that the insertion-deletion polymorphism in the angiotensin-converting enzyme gene is associated with pre-eclampsia.,10459873,Contradiction
as_000052,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",The results showed no association between angiotensin-converting enzyme polymorphism and the development of preeclampsia.,15467548,"Carrying the DD genotype may have some influence on the pathogenesis of preeclampsia, perhaps through effects on placental hypoxia or the interaction of hypertensive disease and atherosclerosis, although this influence may not be strong.",16052407,Contradiction
as_000053,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",The results showed no association between angiotensin-converting enzyme polymorphism and the development of preeclampsia.,15467548,We found an association between the genotype II and low ACE activity in preeclamptic women and an association between D allele frequency and preeclampsia.,14967168,Contradiction
as_000054,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",The results showed no association between angiotensin-converting enzyme polymorphism and the development of preeclampsia.,15467548,We found no association of the two gene polymorphisms with preeclampsia.,17710578,NotContradiction
as_000055,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",The results showed no association between angiotensin-converting enzyme polymorphism and the development of preeclampsia.,15467548,"However, this polymorphism does not correlate with the severity of hypertension or perinatal outcome.",16167906,NotContradiction
as_000056,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",The results showed no association between angiotensin-converting enzyme polymorphism and the development of preeclampsia.,15467548,The commonly occurring RAS polymorphisms are not predictive of pre-eclampsia or eclampsia in the Black South African population.,15097234,NotContradiction
as_000057,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",The results showed no association between angiotensin-converting enzyme polymorphism and the development of preeclampsia.,15467548,"It is highly likely that the observed small nominal increase in risk of preeclampsia associated with the ACE D-allele is due to small-study bias, similar to that observed in cardiovascular disease.",17194198,Contradiction
as_000058,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",The results showed no association between angiotensin-converting enzyme polymorphism and the development of preeclampsia.,15467548,"In conclusion, a molecular variant of ACE, but not angiotensinogen, gene is associated with preeclampsia in Korean women.",15082899,Contradiction
as_000059,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",The results showed no association between angiotensin-converting enzyme polymorphism and the development of preeclampsia.,15467548,The result indicates that the AGT M235T polymorphism and the ACE intron 16 polymorphism play no significant role in preeclampsia observed in Korean women.,15294367,NotContradiction
as_000060,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",The results showed no association between angiotensin-converting enzyme polymorphism and the development of preeclampsia.,15467548,"There was no effect of ACE gene polymorphism on pregnancy outcome, the incidence of pregnancy-induced hypertension, or changes in BP during pregnancy.",8841206,NotContradiction
as_000061,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",The results showed no association between angiotensin-converting enzyme polymorphism and the development of preeclampsia.,15467548,"In contrast, plasma Ang II levels were unchanged in preeclamptic patients.",17401503,Contradiction
as_000062,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",The results showed no association between angiotensin-converting enzyme polymorphism and the development of preeclampsia.,15467548,"The present data indicate that the DD genotype is a genetic marker associated with an elevated risk of obstetric cholestasis, but this polymorphism of the angiotensin-converting enzyme gene is unlikely to play any significant role in preeclampsia.",11568784,NotContradiction
as_000063,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",The results showed no association between angiotensin-converting enzyme polymorphism and the development of preeclampsia.,15467548,This study has found no evidence that the insertion-deletion polymorphism in the angiotensin-converting enzyme gene is associated with pre-eclampsia.,10459873,NotContradiction
as_000064,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia","Carrying the DD genotype may have some influence on the pathogenesis of preeclampsia, perhaps through effects on placental hypoxia or the interaction of hypertensive disease and atherosclerosis, although this influence may not be strong.",16052407,We found an association between the genotype II and low ACE activity in preeclamptic women and an association between D allele frequency and preeclampsia.,14967168,NotContradiction
as_000065,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia","Carrying the DD genotype may have some influence on the pathogenesis of preeclampsia, perhaps through effects on placental hypoxia or the interaction of hypertensive disease and atherosclerosis, although this influence may not be strong.",16052407,We found no association of the two gene polymorphisms with preeclampsia.,17710578,Contradiction
as_000066,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia","Carrying the DD genotype may have some influence on the pathogenesis of preeclampsia, perhaps through effects on placental hypoxia or the interaction of hypertensive disease and atherosclerosis, although this influence may not be strong.",16052407,"However, this polymorphism does not correlate with the severity of hypertension or perinatal outcome.",16167906,Contradiction
as_000067,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia","Carrying the DD genotype may have some influence on the pathogenesis of preeclampsia, perhaps through effects on placental hypoxia or the interaction of hypertensive disease and atherosclerosis, although this influence may not be strong.",16052407,The commonly occurring RAS polymorphisms are not predictive of pre-eclampsia or eclampsia in the Black South African population.,15097234,Contradiction
as_000068,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia","Carrying the DD genotype may have some influence on the pathogenesis of preeclampsia, perhaps through effects on placental hypoxia or the interaction of hypertensive disease and atherosclerosis, although this influence may not be strong.",16052407,"It is highly likely that the observed small nominal increase in risk of preeclampsia associated with the ACE D-allele is due to small-study bias, similar to that observed in cardiovascular disease.",17194198,NotContradiction
as_000069,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia","Carrying the DD genotype may have some influence on the pathogenesis of preeclampsia, perhaps through effects on placental hypoxia or the interaction of hypertensive disease and atherosclerosis, although this influence may not be strong.",16052407,"In conclusion, a molecular variant of ACE, but not angiotensinogen, gene is associated with preeclampsia in Korean women.",15082899,NotContradiction
as_000070,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia","Carrying the DD genotype may have some influence on the pathogenesis of preeclampsia, perhaps through effects on placental hypoxia or the interaction of hypertensive disease and atherosclerosis, although this influence may not be strong.",16052407,The result indicates that the AGT M235T polymorphism and the ACE intron 16 polymorphism play no significant role in preeclampsia observed in Korean women.,15294367,Contradiction
as_000071,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia","Carrying the DD genotype may have some influence on the pathogenesis of preeclampsia, perhaps through effects on placental hypoxia or the interaction of hypertensive disease and atherosclerosis, although this influence may not be strong.",16052407,"There was no effect of ACE gene polymorphism on pregnancy outcome, the incidence of pregnancy-induced hypertension, or changes in BP during pregnancy.",8841206,Contradiction
as_000072,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia","Carrying the DD genotype may have some influence on the pathogenesis of preeclampsia, perhaps through effects on placental hypoxia or the interaction of hypertensive disease and atherosclerosis, although this influence may not be strong.",16052407,"In contrast, plasma Ang II levels were unchanged in preeclamptic patients.",17401503,NotContradiction
as_000073,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia","Carrying the DD genotype may have some influence on the pathogenesis of preeclampsia, perhaps through effects on placental hypoxia or the interaction of hypertensive disease and atherosclerosis, although this influence may not be strong.",16052407,"The present data indicate that the DD genotype is a genetic marker associated with an elevated risk of obstetric cholestasis, but this polymorphism of the angiotensin-converting enzyme gene is unlikely to play any significant role in preeclampsia.",11568784,Contradiction
as_000074,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia","Carrying the DD genotype may have some influence on the pathogenesis of preeclampsia, perhaps through effects on placental hypoxia or the interaction of hypertensive disease and atherosclerosis, although this influence may not be strong.",16052407,This study has found no evidence that the insertion-deletion polymorphism in the angiotensin-converting enzyme gene is associated with pre-eclampsia.,10459873,Contradiction
as_000075,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",We found an association between the genotype II and low ACE activity in preeclamptic women and an association between D allele frequency and preeclampsia.,14967168,We found no association of the two gene polymorphisms with preeclampsia.,17710578,Contradiction
as_000076,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",We found an association between the genotype II and low ACE activity in preeclamptic women and an association between D allele frequency and preeclampsia.,14967168,"However, this polymorphism does not correlate with the severity of hypertension or perinatal outcome.",16167906,Contradiction
as_000077,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",We found an association between the genotype II and low ACE activity in preeclamptic women and an association between D allele frequency and preeclampsia.,14967168,The commonly occurring RAS polymorphisms are not predictive of pre-eclampsia or eclampsia in the Black South African population.,15097234,Contradiction
as_000078,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",We found an association between the genotype II and low ACE activity in preeclamptic women and an association between D allele frequency and preeclampsia.,14967168,"It is highly likely that the observed small nominal increase in risk of preeclampsia associated with the ACE D-allele is due to small-study bias, similar to that observed in cardiovascular disease.",17194198,NotContradiction
as_000079,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",We found an association between the genotype II and low ACE activity in preeclamptic women and an association between D allele frequency and preeclampsia.,14967168,"In conclusion, a molecular variant of ACE, but not angiotensinogen, gene is associated with preeclampsia in Korean women.",15082899,NotContradiction
as_000080,"In women with pre-eclampsia, is Polymorphism in angiotensin gene associated with pre-eclampsia",We found an association between the genotype II and low ACE activity in preeclamptic women and an association between D allele frequency and preeclampsia.,14967168,The result indicates that the AGT M235T polymorphism and the ACE intron 16 polymorphism play no significant role in preeclampsia observed in Korean women.,15294367,Contradiction
